process_tech;grid;Major Time;Scenario;number
XL_CO2_COMPRESSOR;32;1;LL;1.0
CCS_CEMENT;1;1;LL;1.0
CCS_CEMENT;2;1;LL;1.0
CCS_CEMENT;3;1;LL;1.0
CCS_CEMENT;6;1;LL;1.0
CCS_CEMENT;7;1;LL;1.0
CCS_CEMENT;10;1;LL;1.0
CCS_CEMENT;12;1;LL;1.0
CCS_CEMENT;13;1;LL;1.0
CCS_CEMENT;16;1;LL;1.0
CCS_CEMENT;17;1;LL;1.0
CCS_CEMENT;18;1;LL;1.0
CCS_CEMENT;26;1;LL;1.0
CCS_CEMENT;28;1;LL;1.0
CCS_CEMENT;29;1;LL;1.0
CCS_CEMENT;30;1;LL;1.0
CCS_CEMENT;31;1;LL;1.0
CCS_MINERAL_CEMENT;5;1;LL;1.0
CCS_MINERAL_CEMENT;8;1;LL;1.0
CCS_MINERAL_CEMENT;15;1;LL;1.0
CCS_MINERAL_CEMENT;19;1;LL;1.0
CCS_MINERAL_CEMENT;23;1;LL;1.0
CCS_MINERAL_CEMENT;27;1;LL;1.0
NO_ACTION;4;1;LL;1.0
NO_ACTION;9;1;LL;1.0
NO_ACTION;11;1;LL;1.0
NO_ACTION;14;1;LL;1.0
NO_ACTION;20;1;LL;1.0
NO_ACTION;21;1;LL;1.0
NO_ACTION;22;1;LL;1.0
NO_ACTION;24;1;LL;1.0
NO_ACTION;25;1;LL;1.0
