index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
30;CID46;8.336864;51.602063;LINESTRING (8.336864007691252 51.60206300512377, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID30', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];499.89038363319327;CCS_CALCINED_CLAY_CEMENT;31;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;24421971.7563216;30.218502687800175;383387.39998592396;237386.85782086063;856991.6185285358;621727.9475781922;0.7254772790493634;7.601230249012036;37.81973293681221;31.799889633501454;237386.85782086063;60.97116088072649;69.61962257031367;112.23741889669307;0.020854979909231637;0.028817784492577225;0.028817784492577225;0.014408892246288612
5;CID9;8.335833;51.599521;LINESTRING (8.335833007691845 51.59952100512495, 8.336864007691252 51.60206300512377, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID5', 'PIPEID30', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];500.1912422181321;CCS_CALCINED_CLAY_CEMENT;6;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;24428639.636041284;30.22515513384528;383387.39998592396;237400.04355300628;856991.6185285358;621727.9475781922;0.7254772790493634;7.604551722491411;37.82970685633669;31.80165596897098;237400.04355300628;60.987240355770766;69.63136282530768;112.2563459731274;0.041709959818463274;0.05763601128178927;0.02881822678921205;0.04322689788718325
17;CID26;8.336089;51.595161;LINESTRING (8.336089007692191 51.59516100512659, 8.335833007691845 51.59952100512495, 8.336864007691252 51.60206300512377, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID17', 'PIPEID5', 'PIPEID30', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];500.6918939289187;CCS_CALCINED_CLAY_CEMENT;18;1;LL;1.0;891770.0000832;31086416.176366895;2126050.1501009897;21740765.40945247;30.23240030307052;341102.02503182396;211228.99192348347;762470.4842311369;553155.0122554558;0.7254772790493635;7.611593246267687;37.84399354933821;31.80357968233875;211228.99192348347;61.010272677519424;69.64757323167696;112.28247961337107;0.060264758122471423;0.08327618575389623;0.025640174472106952;0.07045609851784275
3;CID4;7.887637;52.17459;LINESTRING (7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID3', 'PIPEID31'];424.48764453988804;CCS_CALCINED_CLAY_CEMENT;4;1;LL;1.0;1039169.9999232;36224666.77797398;2477463.3976373277;25786728.948760767;30.667794511781842;397482.52497062396;246512.98136406203;888498.6632943355;644585.5926857711;0.7254772790493634;7.254768414960591;37.92256292674243;31.851400331955176;246512.98136406203;61.13693846223068;69.7739632586976;112.48623955752697;0.08188646523344423;0.11316682028519501;0.029890634531298782;0.09822150301954562
4;CID5;8.258075;50.032201;LINESTRING (8.258075007885553 50.03220100577385, 8.336089007692191 51.59516100512659, 8.335833007691845 51.59952100512495, 8.336864007691252 51.60206300512377, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID4', 'PIPEID17', 'PIPEID5', 'PIPEID30', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];680.2916849082965;CCS_CALCINED_CLAY_CEMENT;5;1;LL;1.0;1790909.999808;62429744.87059947;4269670.961743414;39859120.6487931;28.109409248829554;685023.0749265599;421216.22580457095;1531242.3771158387;1110881.553315078;0.7254772790493634;10.169903813893956;38.27931306272351;31.579603144578524;421216.22580457095;61.71207393374405;69.85891620730203;112.62319662978621;0.11914940727451809;0.1645588616547045;0.051392041369509506;0.13886284096994977
23;CID37;8.073849;51.759234;LINESTRING (8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];473.8767861346939;CCS_CALCINED_CLAY_CEMENT;24;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;24448000.6016783;30.244471286009986;383387.39998592396;240255.15058637556;856991.6185285358;621727.9475781922;0.7254772790493634;7.474691941406515;37.7191632274165;32.184120648719556;240255.15058637556;60.80902721517315;69.90328387613606;112.69472405910207;0.14000438718374972;0.19347285894941105;0.028913997294706534;0.1790158603020578
21;CID30;8.055751;51.765425;LINESTRING (8.055751007767336 51.76542500510752, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID21', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];475.34699074129395;CCS_CALCINED_CLAY_CEMENT;22;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;24433856.86855383;30.23036029039482;383387.39998592396;240227.18135412183;856991.6185285358;621727.9475781922;0.7254772790493634;7.510957296339614;37.74131758673443;32.180373943838894;240227.18135412183;60.84474341148897;69.92169153057333;112.72439999737499;0.16085936709298135;0.22238591805599367;0.028913059106582623;0.20792938850270237
10;CID17;8.03084;51.857225;LINESTRING (8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID10', 'PIPEID3', 'PIPEID31'];462.2349697251427;CCS_CALCINED_CLAY_CEMENT;11;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;24532952.464639496;30.329226516838776;383387.39998592396;240423.1428953813;856991.6185285358;621727.9475781922;0.7254772790493634;7.421624867472376;37.750851384311154;32.20662457726345;240423.1428953813;60.86011334302249;69.9574759615746;112.78208994201975;0.18171434700221298;0.2513055504138221;0.028919632357828406;0.23684573423490787
16;CID23;8.5105;51.618256;LINESTRING (8.510500007632825 51.61825600508804, 8.503183007634776 51.62267000508754, 8.336864007691252 51.60206300512377, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID16', 'PIPEID1', 'PIPEID30', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];512.7363698715375;CCS_CALCINED_CLAY_CEMENT;17;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;24667383.629604507;30.463346523393515;383387.39998592396;240688.98052409952;856991.6185285358;621727.9475781922;0.7254772790493634;7.719184124437179;38.182530647830696;32.2422356777737;240688.98052409952;61.556045962877256;70.4247663256044;113.53543307140872;0.2025693269114446;0.2802340999168868;0.028928549503064727;0.2657698251653544
25;CID40;11.753223;51.813271;LINESTRING (11.75322300659939 51.81327100450306, 8.746013007548269 51.69847900501734, 8.503183007634776 51.62267000508754, 8.336864007691252 51.60206300512377, 8.073849007761982 51.75923400510686, 8.03084000776645 51.85722500507583, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID25', 'PIPEID13', 'PIPEID1', 'PIPEID30', 'PIPEID23', 'PIPEID10', 'PIPEID3', 'PIPEID31'];747.0307472551609;CCS_CALCINED_CLAY_CEMENT;26;1;LL;1.0;1665619.9999439998;58062231.85923344;3970969.701337527;37754727.55951184;28.520130217837213;637099.6499785798;392300.50611669646;1424118.4249121195;1033165.5599493097;0.7254772790493634;10.28675488320192;38.806885101039136;31.624107556569665;392300.50611669646;62.562600289338846;70.4309926576088;113.54547086546117;0.23722539646659851;0.32804933210147386;0.04781523218458705;0.30414171600918033
