index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
1;CID2;8.503183;51.62267;LINESTRING (8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID1', 'PIPEID13', 'PIPEID31'];501.5504358098575;CCS_CEMENT;2;1;LL;1.0;1002319.9999632;36766221.86896564;1882407.0636297194;10064692.352838388;15.569729604593963;766774.799971848;290596.45476337615;856991.6185285358;566395.1637651597;0.6609109721955817;12.079004901595749;27.64873450618971;38.927745512919884;273160.6674775736;48.9285243627486;66.5764800191096;117.81692662540473;0.01899892035900928;0.028244994457285198;0.028244994457285198;0.014122497228642599
16;CID23;8.5105;51.618256;LINESTRING (8.510500007632825 51.61825600508804, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID16', 'PIPEID1', 'PIPEID13', 'PIPEID31'];502.27856460489545;CCS_CEMENT;17;1;LL;1.0;1002319.9999632;36766221.86896564;1882407.0636297194;10064692.352838388;15.569729604593963;766774.799971848;290596.45476337615;856991.6185285358;566395.1637651597;0.6609109721955817;12.107983014097098;27.67771261869106;38.927745512919884;273160.6674775736;48.97980541806024;66.60545813161094;117.86820768071637;0.03799784071801856;0.056489988914570397;0.028244994457285198;0.042367491685927794
30;CID46;8.336864;51.602063;LINESTRING (8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID30', 'PIPEID1', 'PIPEID13', 'PIPEID31'];513.6682932531637;CCS_CEMENT;31;1;LL;1.0;1002319.9999632;36766221.86896564;1882407.0636297194;10064692.352838388;15.569729604593963;766774.799971848;290596.45476337615;856991.6185285358;566395.1637651597;0.6609109721955817;12.368069477660784;27.93779908225475;38.927745512919884;273160.6674775736;49.440066876538495;66.86554459517464;118.32846913919464;0.056996761077027835;0.08473498337185559;0.02824499445728519;0.070612486143213
5;CID9;8.335833;51.599521;LINESTRING (8.335833007691845 51.59952100512495, 8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID5', 'PIPEID30', 'PIPEID1', 'PIPEID13', 'PIPEID31'];513.9691518381026;CCS_CEMENT;6;1;LL;1.0;1002319.9999632;36766221.86896564;1882407.0636297194;10064692.352838388;15.569729604593963;766774.799971848;290596.45476337615;856991.6185285358;566395.1637651597;0.6609109721955817;12.376289155220114;27.946018759814077;38.927745512919884;273160.6674775736;49.45461281149351;66.87376427273396;118.34301507414965;0.07599568143603712;0.11297997782914079;0.028244994457285205;0.09885748060049819
17;CID26;8.336089;51.595161;LINESTRING (8.336089007692191 51.59516100512659, 8.335833007691845 51.59952100512495, 8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID17', 'PIPEID5', 'PIPEID30', 'PIPEID1', 'PIPEID13', 'PIPEID31'];514.4698035488891;CCS_CEMENT;18;1;LL;1.0;891770.0000832;32711123.87296493;1674788.637711832;8954615.99155719;15.56972960459396;682204.050063648;258545.37522750022;762470.4842311369;503925.10900363664;0.6609109721955817;12.398597676105833;27.968327280699793;38.92774551291987;243032.65271385023;49.494091038151915;66.89607279361967;118.38249330080802;0.09289913264000038;0.13810971554808082;0.02512973771894003;0.12554484668861082
0;CID1;10.481936;51.364109;LINESTRING (10.48193600702974 51.36410900486374, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID0', 'PIPEID13', 'PIPEID31'];612.6357867492396;CCS_CEMENT;1;1;LL;1.0;1923569.999664;70558705.19467768;3612560.6142615858;19315328.70388539;15.56972960459396;1471531.0497429601;557688.7844321872;1644667.7382727175;1086978.9538405302;0.6609109721955817;13.728032458881142;29.2977620634751;38.92774551291987;524227.45736625604;51.8467224811261;68.22550757639497;120.73512474378222;0.12936029597101006;0.1923151828446573;0.054205467296576465;0.16521244919636907
15;CID22;9.618221;49.808084;LINESTRING (9.618221007466078 49.80808400562265, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID15', 'PIPEID13', 'PIPEID31'];708.9467286126704;CCS_CEMENT;16;1;LL;1.0;1002319.9999632;36766221.86896564;1882407.0636297194;10064692.352838388;15.569729604593963;766774.799971848;290596.4547633761;856991.6185285358;566395.1637651597;0.6609109721955817;14.019910547208429;29.589640151802392;38.92774551291987;273160.66747757356;52.3632439209221;68.51738566472227;121.25164618357822;0.14835921633001933;0.22056017730194247;0.028244994457285177;0.20643768007329988
28;CID43;9.768927;49.954669;LINESTRING (9.768927007401388 49.9546690055364, 9.618221007466078 49.80808400562265, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID28', 'PIPEID15', 'PIPEID13', 'PIPEID31'];729.2649247955426;CCS_CEMENT;29;1;LL;1.0;965470.0000031999;35414522.53696539;1813200.9216570898;9694666.899077987;15.56972960459396;738584.5500024479;279912.7615847508;825484.573762736;545571.8121779852;0.6609109721955816;14.857321333117877;30.427050937711837;38.92774551291987;263117.9958896658;53.84516614165977;69.35479645063171;122.73356840431589;0.16665964697067995;0.24776675284644595;0.02720657554450348;0.23416346507419422
11;CID18;9.876779;52.374756;LINESTRING (9.876779007123972 52.37475600458054, 9.888384007122246 52.35336300458661, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID11', 'PIPEID20', 'PIPEID13', 'PIPEID31'];595.3534998618389;CCS_CEMENT;12;1;LL;1.0;663299.9999808001;24330588.001710396;1245710.5568234625;6660458.174724206;15.569729604593961;507424.49998531205;192306.47741843408;567126.806383584;374820.32896514994;0.6609109721955817;15.15312238461264;30.722851989206603;38.92774551291988;180768.08877332805;54.36862984490261;69.65059750212649;123.25703210755874;0.17923246191423964;0.2664582932962652;0.018691540449819244;0.25711252307135557
12;CID19;8.685598;49.357624;LINESTRING (8.685598007822042 49.3576240059794, 9.618221007466078 49.80808400562265, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID12', 'PIPEID15', 'PIPEID13', 'PIPEID31'];796.0549960242096;CCS_CEMENT;13;1;LL;1.0;1002319.9999632;36766221.86896564;1882407.0636297194;10064692.352838388;15.569729604593963;766774.799971848;290596.45476337615;856991.6185285358;566395.1637651597;0.6609109721955817;15.80716910242863;31.37689870702259;38.927745512919884;273160.6674775736;55.526062231541175;70.30464421994247;124.41446449419729;0.1982313822732489;0.2947032877535504;0.028244994457285233;0.2805807905249078
