From grid;To grid;Distribution type;Major time;Scenario;No. of units
1;14;16INCH_CO2_ONSHORE;1;LL;1.0
2;14;16INCH_CO2_ONSHORE;1;LL;1.0
3;5;9INCH_CO2_ONSHORE;1;LL;1.0
4;33;12INCH_CO2_ONSHORE;1;LL;1.0
5;16;12INCH_CO2_ONSHORE;1;LL;1.0
6;31;12INCH_CO2_ONSHORE;1;LL;1.0
7;1;12INCH_CO2_ONSHORE;1;LL;1.0
8;13;12INCH_CO2_ONSHORE;1;LL;1.0
9;26;9INCH_CO2_ONSHORE;1;LL;1.0
10;30;9INCH_CO2_ONSHORE;1;LL;1.0
11;4;12INCH_CO2_ONSHORE;1;LL;1.0
12;21;9INCH_CO2_ONSHORE;1;LL;1.0
13;16;12INCH_CO2_ONSHORE;1;LL;1.0
14;32;32INCH_CO2_ONSHORE;1;LL;1.0
15;28;12INCH_CO2_ONSHORE;1;LL;1.0
16;14;24INCH_CO2_ONSHORE;1;LL;1.0
17;2;9INCH_CO2_ONSHORE;1;LL;1.0
18;6;9INCH_CO2_ONSHORE;1;LL;1.0
19;8;9INCH_CO2_ONSHORE;1;LL;1.0
20;32;9INCH_CO2_ONSHORE;1;LL;1.0
21;14;9INCH_CO2_ONSHORE;1;LL;1.0
22;11;9INCH_CO2_ONSHORE;1;LL;1.0
23;28;9INCH_CO2_ONSHORE;1;LL;1.0
24;31;9INCH_CO2_ONSHORE;1;LL;1.0
25;30;6INCH_CO2_ONSHORE;1;LL;1.0
26;1;12INCH_CO2_ONSHORE;1;LL;1.0
27;15;9INCH_CO2_ONSHORE;1;LL;1.0
28;16;16INCH_CO2_ONSHORE;1;LL;1.0
29;16;9INCH_CO2_ONSHORE;1;LL;1.0
30;28;12INCH_CO2_ONSHORE;1;LL;1.0
31;2;16INCH_CO2_ONSHORE;1;LL;1.0
32;55;32INCH_CO2_OFFSHORE;1;LL;1.0
33;54;28INCH_CO2_OFFSHORE;1;LL;1.0
