From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;14;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;230.73526539765
2;14;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;214.00132705200005
3;5;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.76568492990001
5;16;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;98.5049717391
6;31;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;82.70427226230002
7;1;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;74.01549657915001
8;13;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;66.67830821641502
10;30;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.76568492990001
12;21;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.96258561560001
13;16;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;110.44399314631502
14;32;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;1022.3149109247902
15;28;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;94.385848458195
16;14;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;548.6157328595401
17;2;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.76568492990001
18;6;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;38.93858733240001
19;8;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.04232876548501
21;14;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.96258561560001
23;28;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;30.635979450930005
26;1;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;72.72827054550001
27;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;51.5855830455
28;16;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;253.74443064682504
29;16;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;42.15665239740001
30;28;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;87.53136985980002
31;2;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;126.46995719220004
32;55;32INCH_CO2_OFFSHORE;MODE_1;1;1;LL;1022.3149109247902
