From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;14;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;271.0576207049402
2;14;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;257.7670119819
3;5;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.7656849299
4;33;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;106.16396660451
5;16;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;98.5049717391
6;31;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;82.70427226230001
7;1;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;74.0154965791502
8;13;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;66.67830821641489
9;26;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;40.32235530729
10;30;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.7656849299
11;4;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;74.40166438083
12;21;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.9625856156
13;16;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;110.44399314631488
14;32;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;1202.65527735558
15;28;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;94.385848458195
16;14;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;570.4663946723099
17;2;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.7656849299
18;6;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;38.9385873324
19;8;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.042328765484896
20;32;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;29.05912756908001
21;14;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;59.59856506653
22;11;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.7656849299
23;28;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;30.63597945093
24;31;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.7656849299
25;30;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.85066181277
26;1;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;113.05062585278998
27;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;51.5855830455
28;16;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;275.595092459595
29;16;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;42.1566523974
30;28;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;109.38203167257
31;2;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;170.23564212210002
32;55;32INCH_CO2_OFFSHORE;MODE_1;1;1;LL;1236.6818873668192
33;54;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;684.9298699545359
