RESOURCE;grid_id;T;TM;S;DEMAND
CEMENT;1;1;1;LL;74.20091324
CEMENT;2;1;1;LL;47.37442922
CEMENT;3;1;1;LL;120.0
CEMENT;4;1;1;LL;60.21689498
CEMENT;5;1;1;LL;46.51826484
CEMENT;6;1;1;LL;82.76255708
CEMENT;7;1;1;LL;106.7351598
CEMENT;8;1;1;LL;74.20091324
CEMENT;9;1;1;LL;95.89041096
CEMENT;10;1;1;LL;87.32876712
CEMENT;11;1;1;LL;120.0
CEMENT;12;1;1;LL;53.42465753
CEMENT;13;1;1;LL;81.62100457
CEMENT;14;1;1;LL;106.7351598
CEMENT;15;1;1;LL;74.20091324
CEMENT;16;1;1;LL;74.20091324
CEMENT;17;1;1;LL;74.20091324
CEMENT;18;1;1;LL;120.0
CEMENT;19;1;1;LL;79.33789954
CEMENT;20;1;1;LL;120.0
CEMENT;21;1;1;LL;74.20091324
CEMENT;22;1;1;LL;131.8493151
CEMENT;23;1;1;LL;50.2283105
CEMENT;24;1;1;LL;55.93607306
CEMENT;25;1;1;LL;74.20091324
CEMENT;26;1;1;LL;78.19634703
CEMENT;27;1;1;LL;55.3652968
CEMENT;28;1;1;LL;74.20091324
CEMENT;29;1;1;LL;67.35159817
CEMENT;30;1;1;LL;74.20091324
CEMENT;31;1;1;LL;85.61643836
CEMENT;32;1;1;LL;35.38812785
CEMENT;33;1;1;LL;114.1552511
CEMENT;34;1;1;LL;74.20091324
