OID;Grid_id;RESOURCE;TRANSPORT_COEFF;TRANSPORT_EMISS
CID75;1;OLIVINE;0.010642137910582;0.0522250083792517
CID76;2;OLIVINE;0.0050650853081858;0.0229417905519535
CID77;3;OLIVINE;0.006916763184292;0.0270795036419535
CID78;4;OLIVINE;0.0193158286710177;0.0547861454019535
CID79;5;OLIVINE;0.0081361938431591;0.0323880015585636
CID80;6;OLIVINE;0.0111116021223451;0.0364531858619535
CID81;7;OLIVINE;0.0061469591495201;0.0421801942992517
CID82;8;OLIVINE;0.0097657859160312;0.0747945240827513
CID83;9;OLIVINE;0.0146670469405042;0.0469816826185636
CID84;10;OLIVINE;0.0079631428880661;0.0652551925074955
CID85;11;OLIVINE;0.0117947062700135;0.0793282987827513
CID86;12;OLIVINE;0.0219634463618004;0.0845912224248556
CID87;13;OLIVINE;0.0032771682330127;0.0131134702453264
CID88;14;OLIVINE;0.0075887115958445;0.0227479372553264
CID89;15;OLIVINE;0.0045017239852251;0.0158498319153264
CID90;16;OLIVINE;0.0048050392904867;0.0223606982219535
CID91;17;OLIVINE;0.0063471844148977;0.0496955138848556
CID92;18;OLIVINE;0.0060759920732476;0.0277843261885636
CID93;19;OLIVINE;0.0068531935139155;0.055826214646847
CID94;20;OLIVINE;0.0068366264061572;0.0437213075092517
CID95;21;OLIVINE;0.0223247560963137;0.0853985961248556
CID96;22;OLIVINE;0.0096201239411274;0.080520424581451
CID97;23;OLIVINE;0.0082697575974471;0.0714515366027513
CID98;24;OLIVINE;0.0119443844148977;0.0622028770748556
CID99;25;OLIVINE;0.0068187927778387;0.0436814569292517
CID100;26;OLIVINE;0.0054269557522123;0.01212693965
CID101;27;OLIVINE;0.0074720884955752;0.01669694215
CID102;28;OLIVINE;0.0094330336756407;0.080102357351451
CID103;29;OLIVINE;0.0051668201103207;0.0276193171780815
CID104;30;OLIVINE;0.0099403496689608;0.0392192835961098
CID105;31;OLIVINE;0.0059165862110024;0.0223966438700882
CID106;32;OLIVINE;0.0087884587773741;0.0288140585100882
CID107;33;OLIVINE;0.0086583280749225;0.0354213535880815
CID108;34;OLIVINE;0.0049114859521467;0.0279819104561098
CID75;1;BIOMASS;0.0195160257943874;0.1760069403252207
CID76;2;BIOMASS;0.0158847846120576;0.1693985062023843
CID77;3;BIOMASS;0.0177364624881638;0.1735362192923843
CID78;4;BIOMASS;0.0301355279748895;0.2012428610523843
CID79;5;BIOMASS;0.0189402593233506;0.1786625343074204
CID80;6;BIOMASS;0.0219313014262169;0.1829099015123843
CID81;7;BIOMASS;0.0150208470333254;0.1659621262452207
CID82;8;BIOMASS;0.0186396737998365;0.1985764560287203
CID83;9;BIOMASS;0.0254711124206957;0.1932562153674204
CID84;10;BIOMASS;0.0168370307718714;0.1890371244534645
CID85;11;BIOMASS;0.0206685941538188;0.2031102307287203
CID86;12;BIOMASS;0.0308373342456057;0.2083731543708246
CID87;13;BIOMASS;0.0140968675368844;0.1595701858957571
CID88;14;BIOMASS;0.0184084108997163;0.1692046529057571
CID89;15;BIOMASS;0.0153214232890968;0.1623065475657571
CID90;16;BIOMASS;0.0156247385943585;0.1688174138723843
CID91;17;BIOMASS;0.0152210722987031;0.1734774458308246
CID92;18;BIOMASS;0.0168800575534391;0.1740588589374204
CID93;19;BIOMASS;0.0157270813977208;0.179608146592816
CID94;20;BIOMASS;0.0157105142899626;0.1675032394552207
CID95;21;BIOMASS;0.031198643980119;0.2091805280708246
CID96;22;BIOMASS;0.0184940118249327;0.20430235652742
CID97;23;BIOMASS;0.0171436454812524;0.1952334685487202
CID98;24;BIOMASS;0.0208182722987031;0.1859848090208246
CID99;25;BIOMASS;0.015692680661644;0.1674633888752207
CID100;26;BIOMASS;0.0184235187728983;0.1634480205404307
CID101;27;BIOMASS;0.0222159755014862;0.1777129415757571
CID102;28;BIOMASS;0.018306921559446;0.20388428929742
CID103;29;BIOMASS;0.0145237610263834;0.1570303264905747
CID104;30;BIOMASS;0.0190991376623623;0.1663211921317162
CID105;31;BIOMASS;0.0160080804177445;0.1603674944980291
CID106;32;BIOMASS;0.0188799529841162;0.1667849091380291
CID107;33;BIOMASS;0.0180152689909852;0.1648323629005746
CID108;34;BIOMASS;0.0140702739455481;0.1550838189917162
CID75;1;CLAY;0.008830109591998;0.0481758951992517
CID76;2;CLAY;0.0032530569896018;0.0188926773719535
CID77;3;CLAY;0.0051421118568584;0.0231139121519535
CID78;4;CLAY;0.0175038003524336;0.0507370322219535
CID79;5;CLAY;0.006324165524575;0.0283388883785636
CID80;6;CLAY;0.0093369507949115;0.0324875943719535
CID81;7;CLAY;0.0043349556096971;0.0381311364892517
CID82;8;CLAY;0.0079537575974471;0.0707454109027513
CID83;9;CLAY;0.0125431283564334;0.0422356272485636
CID84;10;CLAY;0.006151114569482;0.0612060793274955
CID85;11;CLAY;0.0099826779514294;0.0752791856027513
CID86;12;CLAY;0.0201511206980836;0.0805414448048556
CID87;13;CLAY;0.0014651399144286;0.0090643570653264
CID88;14;CLAY;0.0057766797374375;0.0186988161653264
CID89;15;CLAY;0.002689692126818;0.0118007108253264
CID90;16;CLAY;0.0029930109719026;0.0183115850419535
CID91;17;CLAY;0.0045351560963137;0.0456464007048556
CID92;18;CLAY;0.0042639637546635;0.0237352130085636
CID93;19;CLAY;0.0050411651953314;0.051777101466847
CID94;20;CLAY;0.0050245980875732;0.0396721943292517
CID95;21;CLAY;0.0205124304325968;0.0813488185048556
CID96;22;CLAY;0.0094975096294567;0.028681304640763
CID97;23;CLAY;0.006457729278863;0.0674024234227513
CID98;24;CLAY;0.0101323383971986;0.0581537243448556
CID99;25;CLAY;0.0050067644592546;0.0396323437492517
CID100;26;CLAY;0.0047279752212389;0.0105650152299999
CID101;27;CLAY;0.0058231752212389;0.01301232177
CID102;28;CLAY;0.00931041936397;0.028263237410763
CID103;29;CLAY;0.0033618501988163;0.0235859765380815
CID104;30;CLAY;0.0081283248901998;0.0351701783261098
CID105;31;CLAY;0.0041045578924184;0.0183475306900882
CID106;32;CLAY;0.0069765012552502;0.0247651035300882
CID107;33;CLAY;0.0068463493138605;0.0313723511480815
CID108;34;CLAY;0.0031077195804653;0.0239512592161098
