index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
12;CID87;-5.722483;43.560582;LINESTRING (-5.722482985589674 43.56058201289502, -5.775145985520356 43.33011001305982, -5.61963198548489 42.79865401334181, -6.768732984909476 42.5535190139237, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID12', 'PIPEID14', 'PIPEID13', 'PIPEID26', 'PIPEID25', 'PIPEID35'];447.5330054841884;CCS_BIOMASS_MINERAL_CEMENT;13;1;LL;1.0;1430000.0000664;85605127.41124482;5125541.521793009;98365762.843798;78.32881728587991;765765.0000355572;88255.11741703152;1222661.4400567727;1182963.6928417867;0.9675316928182975;10.946852223158995;89.2756695090389;8.286653825149934;82959.81037200961;107.91895658029107;97.56232333418885;117.93609830849412;0.02877905467295163;0.030978412679661296;0.030978412679661296;0.015489206339830648
25;CID100;-7.450123;42.717483;LINESTRING (-7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID25', 'PIPEID35'];202.9174883927646;CCS_MINERAL_CEMENT;26;1;LL;1.0;1369999.9999655997;82013303.8776328;4910483.835212619;66745111.66680269;58.260630157187464;733634.9999815787;328837.22903240117;1171360.9599705876;848946.0251627071;0.7247518520542325;7.815480150371274;66.07611030755874;32.22817771333494;309106.99529045704;106.63136222556994;98.30428802089367;158.64009088143237;0.04943215182240921;0.05931712689221167;0.028338714212550374;0.04514776978593649
33;CID108;-8.935936;38.501466;LINESTRING (-8.935935982999197 38.50146601752661, -9.230709259891642 38.65399113754908, -8.969029226240394 39.62591194676614);['PIPEID33', 'PIPEID36'];141.41104211114236;CCS_MINERAL_CEMENT;34;1;LL;1.0;1299999.9999648002;77822843.09541087;4659583.20128748;63042063.53292069;58.035465571795925;696149.9999811505;320002.921142627;1111510.399969904;805569.2209557287;0.7247518520542325;8.599321931483795;66.63478750327972;33.05110070877076;300802.74587406934;107.5329363368002;99.68588821205049;160.86966991912743;0.06902998123426471;0.08639115409737186;0.027074027205160188;0.07285414049479176
28;CID103;-9.009904;38.922169;LINESTRING (-9.009903983060321 38.92216901726825, -9.230709259891642 38.65399113754908, -8.969029226240394 39.62591194676614);['PIPEID28', 'PIPEID36'];146.0745589894483;CCS_MINERAL_CEMENT;29;1;LL;1.0;1179999.9999384;70639196.03867495;4229467.828754671;57354405.79330598;58.146999186091534;631889.9999670131;290298.79579302715;1008909.4399473317;731208.9851568271;0.7247518520542325;8.852809210406967;66.99980839649851;33.03228097392994;272880.8680454455;108.12199454412419;100.03208937042845;161.4283574833633;0.08681878023842504;0.1109622358104407;0.024571081713068835;0.09867669495390627
30;CID105;-8.418212;40.289074;LINESTRING (-8.418211983652565 40.28907401608227, -8.663498236721621 41.13424080560878, -9.127339717498904 41.1266330058039);['PIPEID30', 'PIPEID34'];135.4996708333845;CCS_MINERAL_CEMENT;31;1;LL;1.0;1500000.0000672003;89795588.19346678;5376442.155718151;73399405.80834645;58.47450774853136;803250.0000359857;365995.5676288283;1282512.000057457;929502.94732342;0.7247518520542325;9.133800177563757;67.60830792609511;32.761207755609014;344035.8335710985;109.10397023023053;100.36951568170412;161.97288450008082;0.1094316603306529;0.1421270019420007;0.03116476613156001;0.1265446188762207
1;CID76;-2.773979;43.206524;LINESTRING (-2.773978986828726 43.2065240121, -2.899341986773885 43.20482401214273, -4.159779986155612 42.87482501277532, -5.61963198548489 42.79865401334181, -6.768732984909476 42.5535190139237, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID1', 'PIPEID15', 'PIPEID2', 'PIPEID13', 'PIPEID26', 'PIPEID25', 'PIPEID35'];601.7268598518923;CCS_BIOMASS_MINERAL_CEMENT;2;1;LL;1.0;829999.9999344001;49686892.12756524;2974964.6591289677;58045202.10765986;79.47554899365026;444464.9999648712;55855.13050550283;709656.6399439116;686615.2901646778;0.9675316928182974;11.899843123403723;91.37539211705399;9.035669048111899;52503.82267517265;110.45716070926815;100.41106116516589;121.37973324263167;0.1261355871667038;0.160213984953889;0.018086983011888297;0.15117049344794486
14;CID89;-5.775146;43.33011;LINESTRING (-5.775145985520356 43.33011001305982, -5.61963198548489 42.79865401334181, -6.768732984909476 42.5535190139237, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID14', 'PIPEID13', 'PIPEID26', 'PIPEID25', 'PIPEID35'];421.4056657298883;CCS_MINERAL_CEMENT;15;1;LL;1.0;1299999.9999648002;77822843.09541087;4659583.20128748;62809376.67446661;57.85647568067256;696149.9999811505;313906.19089291064;1111510.399969904;805569.2209557287;0.7247518520542325;10.219814404266582;68.07629008493915;32.4214075648517;295071.81943933596;109.85918379928796;100.49769764979084;162.17974016707188;0.14573341657855932;0.1871477706644555;0.02693378571056651;0.17368087780917224
6;CID81;-5.865094;37.359736;LINESTRING (-5.865093984204829 37.35973601700449, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID6', 'PIPEID37'];149.85615465615166;CCS_MINERAL_CEMENT;7;1;LL;1.0;1869999.999696;111945166.59130819;6702631.219405388;91692771.02255115;58.57513794486908;1001384.999837208;470575.4033768022;1598864.9597400778;1158780.3407562373;0.7247518520542325;8.416023588124975;66.99116153299406;33.78803642521775;442340.879174194;108.10804053214973;100.7791979582118;162.63401571710241;0.17392414042102422;0.2263288063078003;0.0391810356433448;0.2067382884861279
13;CID88;-5.619632;42.798654;LINESTRING (-5.61963198548489 42.79865401334181, -6.768732984909476 42.5535190139237, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID13', 'PIPEID26', 'PIPEID25', 'PIPEID35'];360.61696418781503;CCS_MINERAL_CEMENT;14;1;LL;1.0;1869999.999696;111945166.59130819;6702631.219405388;92870456.07125044;59.20491604588017;1001384.999837208;456528.41355993814;1598864.9597400778;1158780.3407562373;0.7247518520542325;9.06422477877506;68.26914082465522;32.779440990371306;429136.70874634176;110.17039971357858;101.04858181502652;163.06873815279104;0.20211486426348912;0.26518672271086857;0.038857916403068266;0.24575776450933445
19;CID94;-6.073448;36.618249;LINESTRING (-6.073447983937021 36.61824901758658, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID19', 'PIPEID37'];149.38039699456206;CCS_MINERAL_CEMENT;20;1;LL;1.0;2102400.0;125857496.4063246;7535621.325116961;103721533.82415779;58.87639447217495;1125835.2;530310.0814811639;1797568.8192000003;1302791.3309101402;0.7247518520542326;8.353131083731387;67.22952555590633;33.868025061878626;498491.47659229394;108.49270422301161;101.09755061778496;163.1477623284028;0.23380907699933579;0.3092659123474681;0.044079189636599514;0.28722631752916833
