From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;25;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;56.76369862856867
2;16;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;176.5647945190139
3;14;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;280.55938355900224
4;12;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;46.06592465971551
5;2;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;86.93578767167226
6;14;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;63.3133561662
7;38;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;99.94777396383134
8;12;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;406.6202054876322
9;5;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;51.349315069072254
10;8;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;109.29195205047
11;23;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;202.13989727607
12;21;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;493.5559931577977
13;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.70804794724376
14;27;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;484.4720547853572
15;14;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;83.44263698725496
16;3;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;216.29938355900225
17;20;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;39.73458904002
18;2;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;64.25999999999999
19;10;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;42.48544520367
20;38;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;103.99458904002
21;35;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;550.3196917863977
22;28;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;70.60530823605
23;8;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;240.56455480857
24;7;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;42.79109589093133
25;38;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;113.52739725716869
26;36;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;568.7006506719222
27;26;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;526.8265068373572
28;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;110.33989727607
29;37;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.066780820035
30;39;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;56.76369862862048
31;35;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;45.84760274178001
32;33;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;27.071917805249985
33;37;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;88.2020547693
34;37;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;39.73458904002911
35;47;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;628.1
36;43;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;628.099999997
37;61;16INCH_CO2_OFFSHORE;MODE_1;1;1;LL;284.0084162855003
38;71;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;399.543378995434
39;68;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;628.1
