Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;21.51261306622688
EMITTED_CO2;2;1;1;LL;3.188078225199933
EMITTED_CO2;3;1;1;LL;29.496870913056924
EMITTED_CO2;4;1;1;LL;17.45831291273147
EMITTED_CO2;5;1;1;LL;13.486753576446768
EMITTED_CO2;6;1;1;LL;23.994837652129625
EMITTED_CO2;7;1;1;LL;26.85932667675812
EMITTED_CO2;8;1;1;LL;21.51261306622688
EMITTED_CO2;9;1;1;LL;24.308283474885982
EMITTED_CO2;10;1;1;LL;25.3186907622917
EMITTED_CO2;11;1;1;LL;34.790859778200016
EMITTED_CO2;12;1;1;LL;15.489081406871566
EMITTED_CO2;13;1;1;LL;5.037392546634219
EMITTED_CO2;14;1;1;LL;26.05755785159464
EMITTED_CO2;15;1;1;LL;17.917020028134168
EMITTED_CO2;16;1;1;LL;18.10377253605679
EMITTED_CO2;17;1;1;LL;18.88782263603404
EMITTED_CO2;18;1;1;LL;29.529565770562968
EMITTED_CO2;19;1;1;LL;20.38346337000947
EMITTED_CO2;20;1;1;LL;30.26884026718972
EMITTED_CO2;21;1;1;LL;21.512613066226876
EMITTED_CO2;22;1;1;LL;35.1332872716926
EMITTED_CO2;23;1;1;LL;14.562384229178264
EMITTED_CO2;24;1;1;LL;16.217200619780094
EMITTED_CO2;25;1;1;LL;21.512613066226876
EMITTED_CO2;26;1;1;LL;18.76924823244299
EMITTED_CO2;27;1;1;LL;16.051718979560217
EMITTED_CO2;28;1;1;LL;19.75998833687439
EMITTED_CO2;29;1;1;LL;16.56956596992164
EMITTED_CO2;30;1;1;LL;21.51261306622688
EMITTED_CO2;31;1;1;LL;20.89015796968198
EMITTED_CO2;32;1;1;LL;10.25986161535304
EMITTED_CO2;33;1;1;LL;28.42829842299341
EMITTED_CO2;34;1;1;LL;18.265006914533505
