Plant ID;Min bio;Max bio;Min olivine;Max olivine;Min energy;Max energy
CID46;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT
CID45;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT
CID43;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT
CID42;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT
CID41;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT
CID40;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT
CID39;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT
CID37;CCS_BIOMASS_CEMENT;CCS_BIOMASS_CEMENT;CCS_BIOMASS_CEMENT;CCS_BIOMASS_CEMENT;CCS_BIOMASS_CEMENT;CCS_BIOMASS_CEMENT
CID35;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT
CID30;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT
CID29;CCS_BIOMASS_MINERAL_CEMENT;CCS_BIOMASS_MINERAL_CEMENT;CCS_BIOMASS_MINERAL_CEMENT;CCS_BIOMASS_MINERAL_CEMENT;CCS_BIOMASS_MINERAL_CEMENT;CCS_BIOMASS_MINERAL_CEMENT
CID28;CCS_BIOMASS_MINERAL_CEMENT;CCS_BIOMASS_MINERAL_CEMENT;CCS_BIOMASS_MINERAL_CEMENT;CCS_BIOMASS_MINERAL_CEMENT;CCS_BIOMASS_MINERAL_CEMENT;CCS_BIOMASS_MINERAL_CEMENT
CID27;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT
CID26;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT
CID23;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT
CID22;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT
CID21;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT
CID20;CCS_BIOMASS_CEMENT;CCS_BIOMASS_CEMENT;CCS_BIOMASS_CEMENT;CCS_BIOMASS_CEMENT;CCS_BIOMASS_CEMENT;CCS_BIOMASS_CEMENT
CID19;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT
CID18;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT
CID17;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT
CID16;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT
CID13;CCS_BIOMASS_MINERAL_CEMENT;CCS_BIOMASS_MINERAL_CEMENT;CCS_BIOMASS_MINERAL_CEMENT;CCS_BIOMASS_MINERAL_CEMENT;CCS_BIOMASS_MINERAL_CEMENT;CCS_BIOMASS_MINERAL_CEMENT
CID11;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT
CID10;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT
CID9;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT
CID5;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT;CCS_MINERAL_CEMENT
CID4;CCS_BIOMASS_MINERAL_CEMENT;CCS_BIOMASS_MINERAL_CEMENT;CCS_BIOMASS_MINERAL_CEMENT;CCS_BIOMASS_MINERAL_CEMENT;CCS_BIOMASS_MINERAL_CEMENT;CCS_BIOMASS_MINERAL_CEMENT
CID3;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT
CID2;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT
CID1;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT;CCS_CEMENT
;;;;;;
;;;;;;
;;;;;;
;;;;;;
