grid;SP_PT_max_bio_no_clay;VID;LCOP_total_w_nets_SP_PT_max_bio_no_clay;SP_PT_max_energy_no_clay;VIDSP_PT_max_energy_no_clay;LCOP_total_w_nets_SP_PT_max_energy_no_clay;SP_PT_max_olivine_no_clay;VIDSP_PT_max_olivine_no_clay;LCOP_total_w_nets_SP_PT_max_olivine_no_clay;SP_PT_min_bio_no_clay;VIDSP_PT_min_bio_no_clay;LCOP_total_w_nets_SP_PT_min_bio_no_clay;SP_PT_min_energy_no_clay;VIDSP_PT_min_energy_no_clay;LCOP_total_w_nets_SP_PT_min_energy_no_clay;SP_PT_min_olivine_no_clay;VIDSP_PT_min_olivine_no_clay;LCOP_total_w_nets_SP_PT_min_olivine_no_clay;SP_PT_no_clay;VIDSP_PT_no_clay;LCOP_total_w_nets_SP_PT_no_clay
34;CCS_MINERAL_CEMENT;CID108;80.607710890525;CCS_MINERAL_CEMENT;CID108;99.68588821205049;CCS_MINERAL_CEMENT;CID108;87.56581495443977;CCS_MINERAL_CEMENT;CID108;80.607710890525;CCS_MINERAL_CEMENT;CID108;68.97949927303623;CCS_MINERAL_CEMENT;CID108;80.02786888519876;CCS_MINERAL_CEMENT;CID108;82.14431605522137
33;CCS_MINERAL_CEMENT;CID107;83.72729094264346;CCS_MINERAL_CEMENT;CID107;102.80546826416897;CCS_MINERAL_CEMENT;CID107;90.68539500655824;CCS_MINERAL_CEMENT;CID107;83.72729094264346;CCS_MINERAL_CEMENT;CID107;72.09907932515469;CCS_MINERAL_CEMENT;CID107;83.14744893731722;CCS_CEMENT;CID107;82.17184441471869
32;CCS_CEMENT;CID106;85.35447357061693;CCS_CEMENT;CID106;110.58704089861692;CCS_CEMENT;CID106;85.35447357061693;CCS_CEMENT;CID106;85.35447357061693;CCS_CEMENT;CID106;68.85152818437692;CCS_CEMENT;CID106;85.35447357061693;CCS_CEMENT;CID106;81.96867145629784
31;CCS_MINERAL_CEMENT;CID105;81.29133836017866;CCS_MINERAL_CEMENT;CID105;100.36951568170412;CCS_MINERAL_CEMENT;CID105;88.24944242409342;CCS_MINERAL_CEMENT;CID105;81.29133836017866;CCS_MINERAL_CEMENT;CID105;69.66312674268988;CCS_MINERAL_CEMENT;CID105;80.71149635485241;CCS_MINERAL_CEMENT;CID105;78.26699085467581
30;CCS_CEMENT;CID104;79.88152578487546;CCS_CEMENT;CID104;105.11409311287544;CCS_CEMENT;CID104;79.88152578487546;CCS_CEMENT;CID104;79.88152578487546;CCS_CEMENT;CID104;63.37858039863546;CCS_CEMENT;CID104;79.88152578487546;CCS_CEMENT;CID104;78.25735135241169
29;CCS_MINERAL_CEMENT;CID103;80.95391204890295;CCS_MINERAL_CEMENT;CID103;100.03208937042844;CCS_MINERAL_CEMENT;CID103;87.91201611281772;CCS_MINERAL_CEMENT;CID103;80.95391204890295;CCS_MINERAL_CEMENT;CID103;69.32570043141419;CCS_MINERAL_CEMENT;CID103;80.37407004357672;CCS_CEMENT;CID103;84.09193918121392
28;CCS_MINERAL_CEMENT;CID102;93.69543426029207;CCS_MINERAL_CEMENT;CID102;112.77361158181756;CCS_MINERAL_CEMENT;CID102;100.65353832420686;CCS_MINERAL_CEMENT;CID102;93.69543426029207;CCS_MINERAL_CEMENT;CID102;82.0672226428033;CCS_MINERAL_CEMENT;CID102;93.11559225496586;CCS_CEMENT;CID102;93.98277783477845
27;CCS_CEMENT;CID101;82.79884665194494;CCS_CEMENT;CID101;108.03141397994492;CCS_CEMENT;CID101;82.79884665194494;CCS_CEMENT;CID101;82.79884665194494;CCS_CEMENT;CID101;66.29590126570494;CCS_CEMENT;CID101;82.79884665194494;CCS_CEMENT;CID101;81.2960107640745
26;CCS_MINERAL_CEMENT;CID100;79.2261106993682;CCS_MINERAL_CEMENT;CID100;98.30428802089368;CCS_MINERAL_CEMENT;CID100;86.18421476328297;CCS_MINERAL_CEMENT;CID100;79.2261106993682;CCS_MINERAL_CEMENT;CID100;67.59789908187943;CCS_MINERAL_CEMENT;CID100;78.64626869404196;CCS_MINERAL_CEMENT;CID100;77.66202170438083
25;CCS_CEMENT;CID99;81.55227252604132;CCS_CEMENT;CID99;106.78483985404134;CCS_CEMENT;CID99;81.55227252604132;CCS_CEMENT;CID99;81.55227252604132;CCS_CEMENT;CID99;65.04932713980133;CCS_CEMENT;CID99;81.55227252604132;CCS_CEMENT;CID99;79.9280980935774
24;CCS_CEMENT;CID98;87.70410173672836;CCS_CEMENT;CID98;112.93666906472836;CCS_CEMENT;CID98;87.70410173672836;CCS_CEMENT;CID98;87.70410173672836;CCS_CEMENT;CID98;71.20115635048836;CCS_CEMENT;CID98;87.70410173672836;CCS_CEMENT;CID98;86.07992730426867
23;CCS_CEMENT;CID97;89.5068378020809;CCS_CEMENT;CID97;114.73940513008088;CCS_CEMENT;CID97;89.5068378020809;CCS_CEMENT;CID97;89.5068378020809;CCS_CEMENT;CID97;73.00389241584088;CCS_CEMENT;CID97;89.5068378020809;CCS_CEMENT;CID97;88.6565849118835
22;CCS_MINERAL_CEMENT;CID96;94.10753725719916;CCS_MINERAL_CEMENT;CID96;113.18571457872466;CCS_MINERAL_CEMENT;CID96;101.06564132111396;CCS_MINERAL_CEMENT;CID96;94.10753725719916;CCS_MINERAL_CEMENT;CID96;82.47932563971041;CCS_MINERAL_CEMENT;CID96;93.52769525187296;CCS_CEMENT;CID96;92.98542434284435
21;CCS_CEMENT;CID95;84.75678307140116;CCS_CEMENT;CID95;109.98935039940116;CCS_CEMENT;CID95;84.75678307140116;CCS_CEMENT;CID95;84.75678307140116;CCS_CEMENT;CID95;68.25383768516116;CCS_CEMENT;CID95;84.75678307140116;CCS_CEMENT;CID95;84.59373700818242
20;CCS_MINERAL_CEMENT;CID94;82.01937329625949;CCS_MINERAL_CEMENT;CID94;101.09755061778496;CCS_MINERAL_CEMENT;CID94;88.97747736017426;CCS_MINERAL_CEMENT;CID94;82.01937329625949;CCS_MINERAL_CEMENT;CID94;70.39116167877071;CCS_MINERAL_CEMENT;CID94;81.43953129093326;CCS_MINERAL_CEMENT;CID94;80.40725119359001
19;CCS_MINERAL_CEMENT;CID93;94.1448690963761;CCS_MINERAL_CEMENT;CID93;113.2230464179016;CCS_MINERAL_CEMENT;CID93;101.10297316029089;CCS_MINERAL_CEMENT;CID93;94.1448690963761;CCS_MINERAL_CEMENT;CID93;82.51665747888734;CCS_MINERAL_CEMENT;CID93;93.56502709104988;CCS_MINERAL_CEMENT;CID93;92.02321985386244
18;CCS_MINERAL_CEMENT;CID92;85.99902653898675;CCS_MINERAL_CEMENT;CID92;105.07720386051224;CCS_MINERAL_CEMENT;CID92;92.95713060290154;CCS_MINERAL_CEMENT;CID92;85.99902653898675;CCS_MINERAL_CEMENT;CID92;74.37081492149798;CCS_MINERAL_CEMENT;CID92;85.41918453366053;CCS_MINERAL_CEMENT;CID92;84.51374643027023
17;CCS_MINERAL_CEMENT;CID91;86.9425716130919;CCS_MINERAL_CEMENT;CID91;106.0207489346174;CCS_MINERAL_CEMENT;CID91;93.90067567700667;CCS_MINERAL_CEMENT;CID91;86.9425716130919;CCS_MINERAL_CEMENT;CID91;75.31435999560313;CCS_MINERAL_CEMENT;CID91;86.36272960776566;CCS_MINERAL_CEMENT;CID91;85.33044951017922
16;CCS_MINERAL_CEMENT;CID90;83.40401910204568;CCS_MINERAL_CEMENT;CID90;102.48219642357115;CCS_MINERAL_CEMENT;CID90;90.36212316596048;CCS_MINERAL_CEMENT;CID90;83.40401910204568;CCS_MINERAL_CEMENT;CID90;71.77580748455694;CCS_MINERAL_CEMENT;CID90;82.82417709671947;CCS_MINERAL_CEMENT;CID90;82.48956073651465
15;CCS_MINERAL_CEMENT;CID89;81.41952032826535;CCS_MINERAL_CEMENT;CID89;100.49769764979084;CCS_MINERAL_CEMENT;CID89;88.37762439218014;CCS_MINERAL_CEMENT;CID89;81.41952032826535;CCS_MINERAL_CEMENT;CID89;69.79130871077658;CCS_MINERAL_CEMENT;CID89;80.83967832293911;CCS_MINERAL_CEMENT;CID89;79.96575291066085
14;CCS_MINERAL_CEMENT;CID88;81.97040449350106;CCS_MINERAL_CEMENT;CID88;101.04858181502652;CCS_MINERAL_CEMENT;CID88;88.92850855741582;CCS_MINERAL_CEMENT;CID88;81.97040449350106;CCS_MINERAL_CEMENT;CID88;70.34219287601229;CCS_MINERAL_CEMENT;CID88;81.39056248817482;CCS_MINERAL_CEMENT;CID88;80.51663707589661
13;CCS_BIOMASS_MINERAL_CEMENT;CID87;108.6347339781958;CCS_BIOMASS_MINERAL_CEMENT;CID87;97.56232333418885;CCS_BIOMASS_MINERAL_CEMENT;CID87;93.62471302601868;CCS_BIOMASS_MINERAL_CEMENT;CID87;69.13772859071133;CCS_BIOMASS_MINERAL_CEMENT;CID87;77.26997814900798;CCS_BIOMASS_MINERAL_CEMENT;CID87;86.08676695677767;CCS_MINERAL_CEMENT;CID87;80.01586145091099
12;CCS_CEMENT;CID86;84.94007549191235;CCS_CEMENT;CID86;110.17264281991235;CCS_CEMENT;CID86;84.94007549191235;CCS_CEMENT;CID86;84.94007549191235;CCS_CEMENT;CID86;68.43713010567237;CCS_CEMENT;CID86;84.94007549191235;CCS_CEMENT;CID86;84.10373076901449
11;CCS_CEMENT;CID85;92.00150319347564;CCS_CEMENT;CID85;117.23407052147564;CCS_CEMENT;CID85;92.00150319347564;CCS_CEMENT;CID85;92.00150319347564;CCS_CEMENT;CID85;75.49855780723564;CCS_CEMENT;CID85;92.00150319347564;CCS_CEMENT;CID85;89.07322750217831
10;CCS_CEMENT;CID84;91.13124092399372;CCS_CEMENT;CID84;116.3638082519937;CCS_CEMENT;CID84;91.13124092399372;CCS_CEMENT;CID84;91.13124092399372;CCS_CEMENT;CID84;74.62829553775373;CCS_CEMENT;CID84;91.13124092399372;CCS_CEMENT;CID84;88.77917057715197
9;CCS_MINERAL_CEMENT;CID83;94.26334696952831;CCS_MINERAL_CEMENT;CID83;113.34152429105382;CCS_MINERAL_CEMENT;CID83;101.22145103344312;CCS_MINERAL_CEMENT;CID83;94.26334696952831;CCS_MINERAL_CEMENT;CID83;82.63513535203955;CCS_MINERAL_CEMENT;CID83;93.6835049642021;CCS_CEMENT;CID83;89.89952133427022
8;CCS_CEMENT;CID82;88.61232413902181;CCS_CEMENT;CID82;113.8448914670218;CCS_CEMENT;CID82;88.61232413902181;CCS_CEMENT;CID82;88.61232413902181;CCS_CEMENT;CID82;72.10937875278182;CCS_CEMENT;CID82;88.61232413902181;CCS_CEMENT;CID82;86.26025379217913
7;CCS_MINERAL_CEMENT;CID81;81.70102063668634;CCS_MINERAL_CEMENT;CID81;100.7791979582118;CCS_MINERAL_CEMENT;CID81;88.6591247006011;CCS_MINERAL_CEMENT;CID81;81.70102063668634;CCS_MINERAL_CEMENT;CID81;70.07280901919756;CCS_MINERAL_CEMENT;CID81;81.1211786313601;CCS_MINERAL_CEMENT;CID81;80.0888985340173
6;CCS_CEMENT;CID80;88.80141291931577;CCS_CEMENT;CID80;114.03398024731575;CCS_CEMENT;CID80;88.80141291931577;CCS_CEMENT;CID80;88.80141291931577;CCS_CEMENT;CID80;72.29846753307577;CCS_CEMENT;CID80;88.80141291931577;CCS_CEMENT;CID80;87.40345946541663
5;CCS_CEMENT;CID79;89.5734984458693;CCS_CEMENT;CID79;114.8060657738693;CCS_CEMENT;CID79;89.5734984458693;CCS_CEMENT;CID79;89.5734984458693;CCS_CEMENT;CID79;73.0705530596293;CCS_CEMENT;CID79;89.5734984458693;CCS_CEMENT;CID79;91.17784028798852
4;CCS_CEMENT;CID78;86.52104118028295;CCS_CEMENT;CID78;111.75360850828294;CCS_CEMENT;CID78;86.52104118028295;CCS_CEMENT;CID78;86.52104118028295;CCS_CEMENT;CID78;70.01809579404295;CCS_CEMENT;CID78;86.52104118028295;CCS_CEMENT;CID78;83.1307962487501
3;CCS_MINERAL_CEMENT;CID77;83.12350747665121;CCS_MINERAL_CEMENT;CID77;102.2016847981767;CCS_MINERAL_CEMENT;CID77;90.081611540566;CCS_MINERAL_CEMENT;CID77;83.12350747665121;CCS_MINERAL_CEMENT;CID77;71.49529585916245;CCS_MINERAL_CEMENT;CID77;82.54366547132499;CCS_MINERAL_CEMENT;CID77;81.87572993106312
2;CCS_BIOMASS_MINERAL_CEMENT;CID76;111.48347180917284;CCS_BIOMASS_MINERAL_CEMENT;CID76;100.41106116516588;CCS_BIOMASS_MINERAL_CEMENT;CID76;96.47345085699573;CCS_BIOMASS_MINERAL_CEMENT;CID76;71.98646642168838;CCS_BIOMASS_MINERAL_CEMENT;CID76;80.11871597998503;CCS_BIOMASS_MINERAL_CEMENT;CID76;88.93550478775468;CCS_CEMENT;CID76;87.62983894767274
1;CCS_CEMENT;CID75;85.0750531711544;CCS_CEMENT;CID75;110.30762049915438;CCS_CEMENT;CID75;85.0750531711544;CCS_CEMENT;CID75;85.0750531711544;CCS_CEMENT;CID75;68.57210778491441;CCS_CEMENT;CID75;85.0750531711544;CCS_CEMENT;CID75;83.45087873868852
