grid;UK_max_bio_no_clay;VID;LCOP_total_w_nets_UK_max_bio_no_clay;UK_max_energy_no_clay;VIDUK_max_energy_no_clay;LCOP_total_w_nets_UK_max_energy_no_clay;UK_max_olivine_no_clay;VIDUK_max_olivine_no_clay;LCOP_total_w_nets_UK_max_olivine_no_clay;UK_min_bio_no_clay;VIDUK_min_bio_no_clay;LCOP_total_w_nets_UK_min_bio_no_clay;UK_min_energy_no_clay;VIDUK_min_energy_no_clay;LCOP_total_w_nets_UK_min_energy_no_clay;UK_min_olivine_no_clay;VIDUK_min_olivine_no_clay;LCOP_total_w_nets_UK_min_olivine_no_clay;UK_no_clay;VIDUK_no_clay;LCOP_total_w_nets_UK_no_clay
16;CCS_BIOMASS_CEMENT;CID74;120.3915403013956;CCS_BIOMASS_CEMENT;CID74;102.5518391072064;CCS_BIOMASS_CEMENT;CID74;89.00850456412144;CCS_BIOMASS_CEMENT;CID74;63.96724689070351;CCS_BIOMASS_CEMENT;CID74;75.69353175558554;CCS_BIOMASS_CEMENT;CID74;89.00850456412144;CCS_BIOMASS_CEMENT;CID74;87.42450456412332
15;CCS_BIOMASS_MINERAL_CEMENT;CID73;105.92655966892634;CCS_BIOMASS_MINERAL_CEMENT;CID73;94.85414902491938;CCS_BIOMASS_MINERAL_CEMENT;CID73;90.9165387167492;CCS_BIOMASS_MINERAL_CEMENT;CID73;66.42955428144188;CCS_BIOMASS_MINERAL_CEMENT;CID73;74.56180383973852;CCS_BIOMASS_MINERAL_CEMENT;CID73;83.37859264750817;CCS_BIOMASS_MINERAL_CEMENT;CID73;82.37443465287016
14;CCS_BIOMASS_CEMENT;CID72;127.56100415545616;CCS_BIOMASS_CEMENT;CID72;109.72130296126696;CCS_BIOMASS_CEMENT;CID72;96.17796841818202;CCS_BIOMASS_CEMENT;CID72;71.13671074476409;CCS_BIOMASS_CEMENT;CID72;82.86299560964612;CCS_BIOMASS_CEMENT;CID72;96.17796841818202;CCS_BIOMASS_CEMENT;CID72;94.59396841818496
13;CCS_BIOMASS_CEMENT;CID71;119.82283709555824;CCS_BIOMASS_CEMENT;CID71;101.98313590136904;CCS_BIOMASS_CEMENT;CID71;88.4398013582841;CCS_BIOMASS_CEMENT;CID71;63.398543684866176;CCS_BIOMASS_CEMENT;CID71;75.1248285497482;CCS_BIOMASS_CEMENT;CID71;88.4398013582841;CCS_BIOMASS_CEMENT;CID71;86.85580135828607
12;CCS_BIOMASS_CEMENT;CID70;121.3815849244312;CCS_BIOMASS_CEMENT;CID70;103.54188373024202;CCS_BIOMASS_CEMENT;CID70;89.99854918715707;CCS_BIOMASS_CEMENT;CID70;64.95729151373912;CCS_BIOMASS_CEMENT;CID70;76.68357637862117;CCS_BIOMASS_CEMENT;CID70;89.99854918715707;CCS_BIOMASS_CEMENT;CID70;88.41454918715891
11;CCS_CEMENT;CID68;80.7972721245105;CCS_CEMENT;CID68;106.0298394525105;CCS_CEMENT;CID68;80.7972721245105;CCS_CEMENT;CID68;80.7972721245105;CCS_CEMENT;CID68;64.29432673827051;CCS_CEMENT;CID68;80.7972721245105;CCS_CEMENT;CID68;79.21327212451041
10;CCS_CEMENT;CID67;90.25993941804884;CCS_CEMENT;CID67;115.49250674604885;CCS_CEMENT;CID67;90.25993941804884;CCS_CEMENT;CID67;90.25993941804884;CCS_CEMENT;CID67;73.75699403180886;CCS_CEMENT;CID67;90.25993941804884;CCS_CEMENT;CID67;88.67593941805052
9;CCS_CEMENT;CID63;84.09472642974936;CCS_CEMENT;CID63;109.32729375774936;CCS_CEMENT;CID63;84.09472642974936;CCS_CEMENT;CID63;84.09472642974936;CCS_CEMENT;CID63;67.59178104350937;CCS_CEMENT;CID63;84.09472642974936;CCS_CEMENT;CID63;82.51072642974927
8;CCS_CEMENT;CID62;79.69151246067703;CCS_CEMENT;CID62;104.92407978867703;CCS_CEMENT;CID62;79.69151246067703;CCS_CEMENT;CID62;79.69151246067703;CCS_CEMENT;CID62;63.18856707443704;CCS_CEMENT;CID62;79.69151246067703;CCS_CEMENT;CID62;78.10751246067704
7;CCS_CEMENT;CID61;82.2944966399201;CCS_CEMENT;CID61;107.52706396792009;CCS_CEMENT;CID61;82.2944966399201;CCS_CEMENT;CID61;82.2944966399201;CCS_CEMENT;CID61;65.7915512536801;CCS_CEMENT;CID61;82.2944966399201;CCS_CEMENT;CID61;80.71049663992004
6;CCS_CEMENT;CID59;83.3469402428211;CCS_CEMENT;CID59;108.5795075708211;CCS_CEMENT;CID59;83.3469402428211;CCS_CEMENT;CID59;83.3469402428211;CCS_CEMENT;CID59;66.8439948565811;CCS_CEMENT;CID59;83.3469402428211;CCS_CEMENT;CID59;81.76294024282079
