OID;Grid_id;RESOURCE;TRANSPORT_COEFF;TRANSPORT_EMISS
CID53;1;OLIVINE;0.0097260864853309;0.0561035567143725
CID54;2;OLIVINE;0.0059956583979867;0.0424827141090394
CID55;3;OLIVINE;0.0094597856003752;0.0555084874143725
CID56;4;OLIVINE;0.0101281396875683;0.0476777112566947
CID58;5;OLIVINE;0.0080400586211659;0.0522071128397744
CID59;6;OLIVINE;0.0125294244387386;0.0564385057226767
CID61;7;OLIVINE;0.0090464617065699;0.0545848841743725
CID62;8;OLIVINE;0.0070457856003752;0.0501142233643725
CID63;9;OLIVINE;0.0113135134884225;0.0595218932497744
CID67;10;OLIVINE;0.009679297624903;0.0610836584551979
CID68;11;OLIVINE;0.010145304184446;0.0570403301043725
CID70;12;OLIVINE;0.0112268126691508;0.0645416968851979
CID71;13;OLIVINE;0.008258984319916;0.0484922950930218
CID72;14;OLIVINE;0.007238704612643;0.0501846306092063
CID73;15;OLIVINE;0.0074403329924824;0.0466629573030219
CID74;16;OLIVINE;0.0113282639965844;0.0647683974851979
CID53;1;BIOMASS;0.017324791221295;0.1650275871006538
CID54;2;BIOMASS;0.0135943064967826;0.1514066179353207
CID55;3;BIOMASS;0.0170584903363392;0.1644325178006538
CID56;4;BIOMASS;0.0184876421591726;0.1683572572761084
CID58;5;BIOMASS;0.0165602212900439;0.1747588522205428
CID59;6;BIOMASS;0.0206847295515655;0.1718486031955872
CID61;7;BIOMASS;0.0166451699823569;0.1635089224706538
CID62;8;BIOMASS;0.01464437352218;0.1590379927206538
CID63;9;BIOMASS;0.0203289575732297;0.1831803761005427
CID67;10;BIOMASS;0.0162590686819246;0.1581337939540534
CID68;11;BIOMASS;0.0177440124602331;0.1659643684006538
CID70;12;BIOMASS;0.013949638938053;0.03117151443
CID71;13;BIOMASS;0.0117265805309734;0.02620392369
CID72;14;BIOMASS;0.0060928637168141;0.01361496094
CID73;15;BIOMASS;0.014469614159292;0.03233343806
CID74;16;BIOMASS;0.0140371646017699;0.03136709709
CID53;1;CLAY;0.0062686890264844;0.029697648111751
CID54;2;CLAY;0.002776535755498;0.0210786966857876
CID55;3;CLAY;0.0060014394689622;0.029100458931751
CID56;4;CLAY;0.0099699361250933;0.0631067325277284
CID58;5;CLAY;0.0065439971100563;0.0521213566231252
CID59;6;CLAY;0.0089230354949116;0.0086795650955829
CID61;7;CLAY;0.005529340353918;0.028045518051751
CID62;8;CLAY;0.0131626182300242;0.045102649961751
CID63;9;CLAY;0.0098169245436846;0.0594349584431252
CID67;10;CLAY;0.0158749294660631;0.0772322563542176
CID68;11;CLAY;0.0066672306194047;0.030588219191751
CID70;12;CLAY;0.017413723174906;0.0596867177525764
CID71;13;CLAY;0.0144391868610694;0.0436223265104004
CID72;14;CLAY;0.0134422727369891;0.0663509627282261
CID73;15;CLAY;0.0136170912858482;0.0417852922904004
CID74;16;CLAY;0.017508544413844;0.0598986029225764
