From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;3;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;70.79743150650008
2;8;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;16.0903253403
3;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.97808219475009
4;7;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;32.180650688250005
5;1;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;22.526455477950076
6;11;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;57.92517123119558
7;18;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;74.01549657915017
8;18;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;45.37471746239986
9;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;69.5102054804999
10;12;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;15.446712327299862
11;18;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;261.3068835610501
12;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;53.098073626049874
13;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;48.27097602855
14;13;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;25.7445205506
15;22;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;267.5923715281499
16;15;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;103.149246546
18;39;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;570.8000000000001
22;40;16INCH_CO2_OFFSHORE;MODE_1;1;1;LL;277.2730106724953
