From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;3;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;70.79743150650002
3;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.97808219475004
5;1;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;22.526455477950005
6;11;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;57.92517123120002
7;18;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;41.83484589090001
8;18;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;29.284392122100005
9;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;69.5102054805
10;12;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;15.446712327300004
11;18;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;261.30688356105003
12;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;15.446712327300004
13;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;22.526455477950005
15;22;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;101.04724313280003
18;39;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;332.4261215740501
22;40;16INCH_CO2_OFFSHORE;MODE_1;1;1;LL;102.71157575080248
