Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;18.2939951891736
EMITTED_CO2;2;1;1;LL;17.983473056940163
EMITTED_CO2;3;1;1;LL;12.195996793748815
EMITTED_CO2;4;1;1;LL;35.96694612243041
EMITTED_CO2;5;1;1;LL;8.53719775417455
EMITTED_CO2;6;1;1;LL;21.952794225848635
EMITTED_CO2;7;1;1;LL;15.85479583042384
EMITTED_CO2;8;1;1;LL;11.09835708071684
EMITTED_CO2;9;1;1;LL;26.34335307217804
EMITTED_CO2;10;1;1;LL;5.854078459839736
EMITTED_CO2;11;1;1;LL;11.708156919679473
EMITTED_CO2;12;1;1;LL;42.08132695597601
EMITTED_CO2;13;1;1;LL;0.7286117177098355
EMITTED_CO2;14;1;1;LL;28.77355689794432
EMITTED_CO2;15;1;1;LL;6.083861501016344
EMITTED_CO2;16;1;1;LL;115.2855307069312
