From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;3;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;70.797431506497
2;8;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;16.0903253403
3;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.9780821947569
4;7;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;32.180650688250005
5;1;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;22.526455477946996
6;11;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;57.92517123120052
7;18;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;74.01549657915001
8;18;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;45.37471746239012
9;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;69.5102054805
10;12;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;15.446712327300109
11;18;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;261.3068835610574
12;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;53.09807362605139
13;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;48.270976028547445
14;13;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;25.744520550597446
15;22;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;267.5923715281501
16;15;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;103.14924654600128
18;39;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;570.8
22;40;16INCH_CO2_OFFSHORE;MODE_1;1;1;LL;277.2730106723208
