Country;VID;Country_code;Region;Sub_region;Latitude;Longitude;Capacity
Germany;CEMENTID1;276;Europe;Western Europe;51.364109;10.481936;2.61
Germany;CEMENTID2;276;Europe;Western Europe;51.62267;8.503183;
Germany;CEMENTID3;276;Europe;Western Europe;49.602402;8.036802;
Germany;CEMENTID4;276;Europe;Western Europe;52.17459;7.887637;1.41
Germany;CEMENTID5;276;Europe;Western Europe;50.032201;8.258075;2.43
Germany;CEMENTID6;276;Europe;Western Europe;51.215198;6.702557;
Germany;CEMENTID7;276;Europe;Western Europe;50.417212;7.473855;
Germany;CEMENTID8;276;Europe;Western Europe;51.599704;8.349549;
Germany;CEMENTID9;276;Europe;Western Europe;51.599521;8.335833;
Germany;CEMENTID10;276;Europe;Western Europe;51.270124;11.660638;2.3
Germany;CEMENTID11;276;Europe;Western Europe;49.016926;8.614774;
Germany;CEMENTID12;276;Europe;Western Europe;50.520752;6.560266;0.45
Germany;CEMENTID13;276;Europe;Western Europe;52.489222;13.836808;1.79
Germany;CEMENTID14;276;Europe;Western Europe;52.1576;14.650765;
Germany;CEMENTID15;276;Europe;Western Europe;48.07753;7.704708;
Germany;CEMENTID16;276;Europe;Western Europe;49.213555;12.029824;
Germany;CEMENTID17;276;Europe;Western Europe;51.857225;8.03084;
Germany;CEMENTID18;276;Europe;Western Europe;52.374756;9.876779;0.9
Germany;CEMENTID19;276;Europe;Western Europe;49.357624;8.685598;
Germany;CEMENTID20;276;Europe;Western Europe;51.698479;8.746013;
Germany;CEMENTID21;276;Europe;Western Europe;48.368982;9.735574;1.9
Germany;CEMENTID22;276;Europe;Western Europe;49.808084;9.618221;
Germany;CEMENTID23;276;Europe;Western Europe;51.618256;8.5105;
Germany;CEMENTID24;276;Europe;Western Europe;52.305;13.63851;
Germany;CEMENTID25;276;Europe;Western Europe;49.974307;8.316073;
Germany;CEMENTID26;276;Europe;Western Europe;51.595161;8.336089;1.21
Germany;CEMENTID27;276;Europe;Western Europe;48.227348;8.7786;1.6
Germany;CEMENTID28;276;Europe;Western Europe;53.875099;9.584787;1.29
Germany;CEMENTID29;276;Europe;Western Europe;52.353363;9.888384;
Germany;CEMENTID30;276;Europe;Western Europe;51.765425;8.055751;
Germany;CEMENTID31;276;Europe;Western Europe;53.138469;8.711021;
Germany;CEMENTID32;276;Europe;Western Europe;51.547365;7.506201;
Germany;CEMENTID33;276;Europe;Western Europe;51.512061;6.728638;
Germany;CEMENTID34;276;Europe;Western Europe;54.144146;12.104727;
Germany;CEMENTID35;276;Europe;Western Europe;48.774206;10.698973;
Germany;CEMENTID36;276;Europe;Western Europe;49.077417;9.162092;
Germany;CEMENTID37;276;Europe;Western Europe;51.759234;8.073849;
Germany;CEMENTID38;276;Europe;Western Europe;50.334928;6.765204;
Germany;CEMENTID39;276;Europe;Western Europe;47.791873;12.181552;0.97
Germany;CEMENTID40;276;Europe;Western Europe;51.813271;11.753223;2.26
Germany;CEMENTID41;276;Europe;Western Europe;48.333264;9.732415;2.29
Germany;CEMENTID42;276;Europe;Western Europe;48.652954;10.162965;1.28
Germany;CEMENTID43;276;Europe;Western Europe;49.954669;9.768927;1.31
Germany;CEMENTID44;276;Europe;Western Europe;49.500143;11.553871;
Germany;CEMENTID45;276;Europe;Western Europe;48.884764;10.998115;
Germany;CEMENTID46;276;Europe;Western Europe;51.602063;8.336864;
Germany;CEMENTID47;276;Europe;Western Europe;51.35858;6.710362;
Germany;CEMENTID48;276;Europe;Western Europe;52.487446;13.495733;
Germany;CEMENTID49;276;Europe;Western Europe;50.584533;9.510138;
Germany;CEMENTID50;276;Europe;Western Europe;53.899492;10.809747;
Germany;CEMENTID51;276;Europe;Western Europe;51.014295;11.684831;
Germany;CEMENTID52;276;Europe;Western Europe;49.425386;8.515097;
United Kingdom;CEMENTID53;826;Europe;Northern Europe;53.337916;-1.751755;1.5
United Kingdom;CEMENTID54;826;Europe;Northern Europe;51.397546;-3.392125;0.5
United Kingdom;CEMENTID55;826;Europe;Northern Europe;53.265267;-1.851891;1
United Kingdom;CEMENTID56;826;Europe;Northern Europe;55.979125;-2.47192;1
United Kingdom;CEMENTID57;826;Europe;Northern Europe;52.907516;-0.905543;
United Kingdom;CEMENTID58;826;Europe;Northern Europe;53.675822;-0.529654;0.7
United Kingdom;CEMENTID59;826;Europe;Northern Europe;52.377293;-1.286254;1.8
United Kingdom;CEMENTID60;826;Europe;Northern Europe;51.457535;0.351728;
United Kingdom;CEMENTID61;826;Europe;Northern Europe;53.888913;-2.383373;1.3
United Kingdom;CEMENTID62;826;Europe;Northern Europe;53.152678;-3.061635;0.91
United Kingdom;CEMENTID63;826;Europe;Northern Europe;52.640356;-0.547016;2.16
United Kingdom;CEMENTID64;826;Europe;Northern Europe;54.59506;-1.169809;
United Kingdom;CEMENTID65;826;Europe;Northern Europe;51.471516;0.261598;
United Kingdom;CEMENTID66;826;Europe;Northern Europe;51.584677;-3.787058;
United Kingdom;CEMENTID67;826;Europe;Northern Europe;54.618105;-6.767677;0.48
