Country;VID;Country_code;Region;Sub_region;Latitude;Longitude;Capacity
Spain;CID75;724;Europe;Southern Europe;38.3792;-6.483272;
Spain;CID76;724;Europe;Southern Europe;43.206524;-2.773979;0.83
Spain;CID77;724;Europe;Southern Europe;42.874825;-4.15978;2.9
Spain;CID78;724;Europe;Southern Europe;40.244961;-3.474441;1.055
Spain;CID79;724;Europe;Southern Europe;42.882983;-2.190187;0.815
Spain;CID80;724;Europe;Southern Europe;41.941676;-4.46587;1.45
Spain;CID81;724;Europe;Southern Europe;37.359736;-5.865094;1.87
Spain;CID82;724;Europe;Southern Europe;39.436556;-0.77638;
Spain;CID83;724;Europe;Southern Europe;41.475476;-1.486787;1.68
Spain;CID84;724;Europe;Southern Europe;38.378014;-0.542867;1.53
Spain;CID85;724;Europe;Southern Europe;40.576824;0.54329;2.87
Spain;CID86;724;Europe;Southern Europe;39.934332;-3.74396;0.936
Spain;CID87;724;Europe;Southern Europe;43.560582;-5.722483;1.43
Spain;CID88;724;Europe;Southern Europe;42.798654;-5.619632;1.87
Spain;CID89;724;Europe;Southern Europe;43.33011;-5.775146;
Spain;CID90;724;Europe;Southern Europe;43.204824;-2.899342;
Spain;CID91;724;Europe;Southern Europe;36.714681;-4.329333;
Spain;CID92;724;Europe;Southern Europe;43.285684;-1.997062;2.87
Spain;CID93;724;Europe;Southern Europe;36.966885;-1.904785;1.39
Spain;CID94;724;Europe;Southern Europe;36.618249;-6.073448;2.92
Spain;CID95;724;Europe;Southern Europe;40.009935;-3.901136;
Spain;CID96;724;Europe;Southern Europe;41.474698;2.183652;2.31
Spain;CID97;724;Europe;Southern Europe;39.663613;-0.246962;0.88
Spain;CID98;724;Europe;Southern Europe;37.902032;-4.764202;0.98
Spain;CID99;724;Europe;Southern Europe;37.359766;-6.672312;
Spain;CID100;724;Europe;Southern Europe;42.717483;-7.450123;1.37
Spain;CID101;724;Europe;Southern Europe;42.553519;-6.768733;0.97
Spain;CID102;724;Europe;Southern Europe;41.402821;2.054826;
Portugal;CID103;620;Europe;Southern Europe;38.922169;-9.009904;1.18
Portugal;CID104;620;Europe;Southern Europe;37.135933;-8.100041;
Portugal;CID105;620;Europe;Southern Europe;40.289074;-8.418212;1.5
Portugal;CID106;620;Europe;Southern Europe;39.685773;-8.905132;0.62
Portugal;CID107;620;Europe;Southern Europe;39.655677;-8.987387;2
Portugal;CID108;620;Europe;Southern Europe;38.501466;-8.935936;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
United Kingdom;CID65;826;Europe;Northern Europe;51.471516;0.261598;
United Kingdom;CID66;826;Europe;Northern Europe;51.584677;-3.787058;
United Kingdom;CID67;826;Europe;Northern Europe;54.618105;-6.767677;0.48
United Kingdom;CID68;826;Europe;Northern Europe;53.044003;-1.875169;0.96
United Kingdom;CID69;826;Europe;Northern Europe;53.571377;-0.6155;
United Kingdom;CID70;826;Europe;Northern Europe;54.143487;-7.572383;1.17
Austria;CID71;40;Europe;Western Europe;47.873176;16.085765;0.27
Austria;CID72;40;Europe;Western Europe;47.908647;14.116847;0.55
Austria;CID73;40;Europe;Western Europe;47.983793;16.606415;
Austria;CID74;40;Europe;Western Europe;46.737096;15.573051;1.15
Austria;CID75;40;Europe;Western Europe;47.723208;13.051516;0.7
