Column1;PORT_NAME;VID;coords
49159;Terminal Pesquero Cta. Quiane;PID1;((-70.31722387298942, -18.513597026467323),)
49164;Oil Berth;PID2;((-61.86886473007713, 17.150384410999997),)
16;Port of Basamuk;PID3;((146.14295817405977, -5.53913255687803),)
26;Victoria;PID4;((-123.32715191091728, 48.402783083729446),)
34;;PID5;((126.50786074843957, 36.333661512471735),)
36;Ladysmith Harbour;PID6;((-123.7981702153305, 48.995376555249095),)
80;Yura Ko;PID7;((134.9560471628005, 34.28896299563348),)
104;Bristol City Docks;PID8;((-2.758243494577621, 51.491163074970245),)
16494;4;PID9;((29.401222241448345, 60.03620322793722),)
16495;5a;PID10;((29.370157135380527, 60.090993382036686),)
16496;4A;PID11;((29.354682429661196, 60.01272128429264),)
16502;1a;PID12;((29.979013534407343, 59.9363673850894),)
16503;1b;PID13;((29.9532854126495, 59.91870562545955),)
16513;18;PID14;((28.379575891161558, 60.539520755410194),)
149;Port Alberni;PID15;((-125.00189345292245, 48.997310805134475),)
159;Chemainus;PID16;((-123.59617659728646, 48.76106627751142),)
165;MONTREAL;PID17;((-73.53272993264281, 45.48107736278325),)
167;Yanwei Gang;PID18;((119.78650425273611, 34.474083026871085),)
16553;452;PID19;((36.51019271920032, 45.30485094990581),)
195;Novorosiis'k;PID20;((37.92359276241322, 44.58263733864895),)
206;;PID21;((-70.46187450678713, -23.752744873054326),)
16608;354;PID22;((30.878191614731925, 46.461394457146525),)
226;SHINGU;PID23;((135.98211007433795, 33.67201162967831),)
239;Hiro Ku;PID24;((132.60516251703473, 34.21489073429257),)
241;;PID25;((131.9355403523245, 32.98812351655215),)
246;;PID26;((130.1846118342561, 31.85632057953626),)
254;Section 2;PID27;((135.1948148170717, 35.550017561763525),)
16641;Boston Harbor, MA Quincy Yacht Club Anchorage Area;PID28;((-70.94596870108, 42.271181526593864),)
16653;Orchard Point General Anchorage, Puget Sound;PID29;((-122.52252874697277, 47.54364798311144),)
286;Hannan Port;PID30;((135.31110022775667, 34.421924371272326),)
16689;F;PID31;((-6.869178505148739, 37.09832082968205),)
353;Marmara Adasi Harbour;PID32;((27.478531575693474, 40.530405580066144),)
355;Karabiga Harbour;PID33;((27.447502543218434, 40.530417021363974),)
16740;;PID34;((-0.28907271857888517, 39.39550980459899),)
16741;;PID35;((-0.2636473975467921, 39.39763876609504),)
16756;B;PID36;((-4.359581253502862, 36.67383304797113),)
16757;C;PID37;((-4.359737063184686, 36.69065359979868),)
16758;A;PID38;((-4.384669542778283, 36.6904477821663),)
381;Yangpu Gang;PID39;((109.2170067386196, 19.725760496221483),)
16768;B;PID40;((1.4638403803110123, 38.87698934879154),)
16775;;PID41;((-5.64993573414238, 43.61042789183557),)
16776;;PID42;((-5.9697898043434705, 43.606175878085196),)
393;;PID43;((-71.51351346304415, -31.87939176801592),)
391;;PID44;((-70.81458663455862, -26.842098673805594),)
395;COQUIMBO;PID45;((-71.32753805158285, -29.947662949562073),)
408;;PID46;((136.9746715035114, 34.71380654722452),)
409;;PID47;((136.97576184839204, 34.69948430545628),)
16807;;PID48;((-78.78413542639464, 1.8947434611618519),)
16816;Pacific Anchorage;PID49;((-79.48532283598026, 8.873569183051586),)
16817;;PID50;((-87.56415817346965, 13.187553696334362),)
436;Port of Kandla;PID51;((69.60841095540673, 22.4702970078215),)
16820;CP14-ALFA;PID52;((-71.99583631474525, 12.288342621177435),)
449;;PID53;((137.0053700839688, 34.579400382936),)
450;Section 5;PID54;((133.1405486469157, 34.38307458534837),)
451;Section 6;PID55;((133.0986831286665, 34.38892263919115),)
471;Khalifa Port;PID56;((54.64264038832153, 24.864616147242486),)
485;Port Arkhangel'sk;PID57;((40.11565670542299, 64.92936103139073),)
489;Water Area of Maritime Port Kavkaz;PID58;((36.58634045859799, 45.025739441625774),)
16874;;PID59;((9.921335577964783, 37.28059306740761),)
16875;;PID60;((9.921309761703014, 37.280612429603934),)
491;Yanwei Gang;PID61;((119.78913996449022, 34.47884797118604),)
516;Dockyard Port of Portsmouth;PID62;((-1.1192482586989065, 50.6515938505),)
532;Port Hawkesbury;PID63;((-61.225691625919524, 45.498383813),)
533;Chemainus;PID64;((-123.5339073195833, 48.7096491685),)
536;Chemainus-Ladysmith;PID65;((-123.72890913870589, 48.995791962),)
537;Victoria;PID66;((-123.4493705745, 48.403568258),)
542;Prince Rupert;PID67;((-130.34906717375, 54.1481678325),)
545;Trois-Rivières;PID68;((-72.4689288919142, 46.3728989095),)
612;DARU;PID69;((143.2780000515, -9.114556275),)
621;KUALA SUNGAI LINGGI PORT LIMIT;PID70;((102.05999518675, 2.2790628155),)
626;;PID71;((-13.154176076999999, 8.496193522),)
627;;PID72;((-13.231731858697088, 8.543901513),)
629;Port of London Authority;PID73;((0.7571891550000001, 51.499755866499996),)
17018;CP01-I;PID74;((-77.3236172972247, 3.7683227006345987),)
640;Port of Dundee;PID75;((-2.7723541615, 56.4578100105),)
641;Port of London Authority;PID76;((1.2970902745, 51.525280312),)
642;Port of London Authority;PID77;((1.049355813, 51.51159916),)
650;Bantry Bay Harbour;PID78;((-9.645538357499998, 51.648923567500006),)
651;Bantry Bay Harbour;PID79;((-9.790078969507178, 51.618368974),)
669;Dockyard Port of Portsmouth;PID80;((-1.0354103755097164, 50.693478010999996),)
679;Harwich Haven Authority;PID81;((1.440999987, 51.937746643),)
680;Harwich Haven Authority;PID82;((1.55469815675, 51.9278562905),)
689;Lerwick Port Authority;PID83;((-1.1481369064045803, 60.1103029815),)
697;Orkney Harbour Authority;PID84;((-3.0775235904795175, 58.763453601500004),)
17084;Twielenfleth-Reede;PID85;((9.555312441754056, 53.6130499925),)
17094;;PID86;((103.64333108478365, 1.170416688),)
712;Carlingford Lough Harbour Authority;PID87;((-6.085992350580719, 54.009924725999994),)
726;Port of Bristol;PID88;((-3.091629571186796, 51.355706532),)
727;Port of Cardiff;PID89;((-3.140323813706992, 51.420703665000005),)
17121;San Pablo Bay Anchorage No 19;PID90;((-122.2961476205, 38.082675025),)
740;EL HAMRA OIL TERMINAL;PID91;((28.875773037761952, 30.9672006025),)
17128;Suisun Bay Anchorage Area No 27;PID92;((-122.03406052642322, 38.0798458395),)
17132;Port Everglades Commercial Anchorage;PID93;((-80.07319448084061, 26.127152758999998),)
752;Si Chang;PID94;((100.77335444331939, 13.168670253),)
753;Laem Chabang;PID95;((100.83168419, 13.043638933),)
754;Phatthaya Harbour;PID96;((100.80225903243958, 12.919490416),)
17137;Annapolis Harbor, MD, Naval Anchorage for Deep Draft Vessels Area;PID97;((-76.4261411705, 38.9502098405),)
756;Phatthaya Harbour;PID98;((100.77095414178388, 12.916740649000001),)
764;;PID99;((177.99488867547475, -38.717440869),)
768;Panjin Gang;PID100;((121.96524547849705, 40.708153852500004),)
770;Jiaxing Gang;PID101;((121.2421633193181, 30.66425553),)
17221;;PID102;((118.11881398782134, 5.831735031679273),)
17222;;PID103;((118.12302698381245, 5.829733433201909),)
17223;;PID104;((118.14370319664084, 5.8272053244999995),)
17224;;PID105;((118.15059850113673, 5.8389273745),)
841;Akrotiri Harbour;PID106;((33.0341760472169, 34.573007505),)
842;Çanakkale Harbour;PID107;((26.13409775161738, 39.996088212000004),)
851;Güllük Liman;PID108;((27.408603260662964, 37.2708449555),)
854;Izmir Liman Idari;PID109;((26.706675402801444, 38.5766485745),)
856;Bodrum Harbour;PID110;((27.4003625095, 36.956047745999996),)
863;Amasra Harbour;PID111;((32.39510888773928, 41.7839124095),)
864;Bartin Harbour;PID112;((32.29737747675, 41.794261964499995),)
866;Çanakkale Harbour;PID113;((26.135048292506696, 39.8728811925),)
869;;PID114;((139.71683556975, 35.2958424245),)
870;;PID115;((132.23708022204426, 34.232342694500005),)
874;;PID116;((133.28662385712187, 33.3720297265),)
17269;;PID117;((159.97431501746178, -9.422115040943027),)
893;Port of Kandla;PID118;((70.2965937875, 22.9380287875),)
894;Port of Dighi;PID119;((72.83242844050869, 18.3065672815),)
17279;Anchorage Area B;PID120;((-80.07721859594142, 25.790053736),)
17287;Wilson Hill Anchorage;PID121;((-75.04999579684105, 44.93910694),)
905;Port of Dhamra;PID122;((87.05739818046408, 20.8362493845),)
906;Bhogat Port;PID123;((69.14045142826845, 21.910661220999998),)
907;;PID124;((69.03759825675, 21.943386140999998),)
17295;;PID125;((-74.27430122952467, 45.214120828999995),)
912;Geraldton Port;PID126;((114.56326319123261, -28.7082030155),)
911;Bunbury Port;PID127;((115.60229032040272, -33.284395771999996),)
913;Geraldton Port;PID128;((114.53828335337295, -28.5764074365),)
17301;1;PID129;((-75.53270614602678, 44.690138347499996),)
17309;;PID130;((-74.23378764555656, 45.231227078),)
17311;;PID131;((-74.01676117340976, 45.225782613),)
17333;No 3;PID132;((-77.15826028345711, -12.039161338),)
955;Yangjiang Gang;PID133;((111.7878325588668, 21.615490321499998),)
17340;No 1;PID134;((-77.19160068398409, -12.026219470000001),)
17341;No 9;PID135;((-77.19259038332763, -12.033204068),)
1012;Port of Kollam;PID136;((76.47457582056309, 8.8561398115),)
1016;Caniçal Harbour;PID137;((-16.726728623123087, 32.695278762),)
1025;Huludao Gang;PID138;((119.97184370546887, 40.0256054065),)
1028;Ningbo-Zhoushan Gang(Zhoushan);PID139;((121.92769203500222, 30.025131516000002),)
1031;Ningbo-Zhoushangang(Ningbo);PID140;((122.01414976580043, 29.823891534),)
17428;;PID141;((-46.34152905025, -24.0661626305),)
17439;No1;PID142;((121.10910156740091, 40.707181007),)
1056;;PID143;((132.9278912146331, 34.2451230435),)
1060;;PID144;((132.92107666752935, 34.228574568),)
1090;Port of Kulpi;PID145;((88.2221916603778, 22.0946732485),)
1091;Port of Forcados;PID146;((5.403438134452276, 5.378605909),)
1092;Port of Burutu;PID147;((5.4848734072837, 5.3908313759999995),)
1093;Port of Warri;PID148;((5.725579280476255, 5.5059606720000005),)
1107;Zhanjiang Gang;PID149;((110.608611102, 21.0748721515),)
1108;Zhanjiang Gang;PID150;((110.60528754076844, 21.008726991),)
50259;Ash Shihr Terminal;PID151;((49.524476353638455, 14.6824651205),)
1130;Port of Bristol;PID152;((-2.9483467200657887, 51.432571518),)
1144;;PID153;((-73.1948484758725, -41.7938497005),)
1164;District of Grand Port Maritime de Rouen;PID154;((-0.35585721535507675, 49.540265011),)
1173;Khalifa Port;PID155;((54.58806210293944, 24.9827688785),)
1184;Mina' Rashid Port Limit;PID156;((55.155055811500006, 25.294312359),)
1185;AJMAN;PID157;((55.40800224475, 25.4373289595),)
1245;;PID158;((134.95636221411763, 34.2702394575),)
1246;;PID159;((135.02277897810208, 34.592448365500005),)
1247;;PID160;((134.98987875191787, 34.639320806),)
1269;Port Baltiysk Outer Roads;PID161;((19.80356472115065, 54.604542804),)
1270;Port Baltiysk Outer Roads;PID162;((19.792961479528984, 54.720297977),)
1285;Tianjin Gang;PID163;((118.12464888175, 39.034877624),)
1321;;PID164;((-27.014536508, 38.720666812),)
1327;Edremit Harbour;PID165;((26.068619105462, 39.4411512785),)
1331;Tuzla Liman;PID166;((29.274992672499998, 40.7378373985),)
1332;Dikili Harbour;PID167;((26.755281428793356, 38.964753742),)
1333;Izmir Harbour;PID168;((26.56758063625, 38.752503418),)
1334;Kemer Harbour;PID169;((30.579087514999998, 36.376838078000006),)
1335;Antalya Harbour;PID170;((30.698340665, 36.351906652),)
1336;Finike Liman;PID171;((30.461949473810737, 36.1322731285),)
1337;Kemer Harbour;PID172;((30.628449632, 36.5893647115),)
1340;Bozcaada Harbour;PID173;((25.983333005, 39.9370968805),)
1341;Bozcaada Harbour;PID174;((25.982993155493944, 39.792301808000005),)
1342;Gökçeada Harbour;PID175;((25.887499982, 39.962074616500004),)
1354;Sendai Ku;PID176;((141.11574758525, 38.2571900215),)
1360;;PID177;((139.8401666725288, 35.4128625523299),)
17763;A;PID178;((-63.44296344025, 44.4955512505),)
17764;B;PID179;((-63.4486659005, 44.537526313),)
1385;;PID180;((130.4813324706629, 32.47091474477202),)
17777;HH;PID181;((-54.12360243854654, 47.795416633),)
17780;AA;PID182;((-54.01999732625287, 47.727485499),)
1401;Port of Dhamra;PID183;((87.195817740856, 20.909220557),)
1405;Port of New Mangalore;PID184;((74.66079894167596, 12.9609502845),)
1406;Al Khums Port;PID185;((14.304915714472498, 32.675336329000004),)
17843;;PID186;((-72.23523545441147, 46.499060215),)
1463;Port of Gangavaram;PID187;((83.23825253575001, 17.521428968000002),)
1464;;PID188;((-16.269672418124657, 28.4047702835),)
17850;;PID189;((-71.51712507940829, 46.705468939617276),)
17856;No6;PID190;((121.12673273716132, 37.829173960999995),)
17887;;PID191;((119.0091932995987, 24.8633611245),)
17915;San Francisco Bay, Temporary Anchorage Number 7;PID192;((-122.38544870040568, 37.8218918055),)
17916;San Francisco Bay, Anchorage Number 14;PID193;((-122.3300105515, 37.7191834425),)
17918;San Francisco Bay, Anchorage Number 8A;PID194;((-122.363638826304, 37.782994117),)
1550;Tangshan Gang;PID195;((119.06712856620985, 38.991341473999995),)
1551;Outer Roads of Port Klaipeda;PID196;((20.96912668708686, 55.657930313),)
1554;Tianjin Gang;PID197;((118.0942029595, 38.7678837495),)
17944;;PID198;((-88.48697626536406, 30.2360432495),)
17945;;PID199;((-88.50197315055253, 30.1869756305),)
1575;Port of London Authority;PID200;((1.1025441435, 51.4396723305),)
1576;Port of London Authority;PID201;((1.252353464043213, 51.692436751),)
1592;Izmir Liman;PID202;((26.547129509932702, 38.675322602),)
1593;Foça Liman;PID203;((26.69164992674483, 38.6922540465),)
1594;Tekirdag Port;PID204;((27.208352877600802, 40.602882932499995),)
1595;Gelibolu Harbour;PID205;((26.870306538563035, 40.4720492285),)
1596;Marmara Adasi Harbour;PID206;((27.474136693578576, 40.456983502),)
1601;;PID207;((127.6278348845, 26.230548960999997),)
1603;;PID208;((126.38335114927011, 35.9587848435),)
1606;Kolkata Port;PID209;((87.95349026775187, 21.743149221499998),)
1611;Porto de Maputo;PID210;((32.891656905000005, -25.970555506),)
18004;3;PID211;((-77.76575632701181, -10.802122433000001),)
1627;Port of Lucinda;PID212;((146.43142871714522, -18.5175860995),)
1628;Port of Carnarvon;PID213;((113.35764655895589, -24.580881977),)
1629;Port of Carnarvon;PID214;((113.48906725185374, -25.4999930315),)
18020;4;PID215;((-76.2969433325, -13.775965897),)
18021;8;PID216;((-76.30444052600001, -13.762506698),)
