OID;Country;Latitude;Longitude;STORE_CAP_MEAN;geometry
99;ES;41.63825878628177;-0.42459265310605593;95.64;POINT (-0.4245926531060559 41.63825878628177)
100;ES;41.28328748163626;-0.33896675883544014;31.05;POINT (-0.3389667588354401 41.28328748163626)
101;ES;42.482599296280654;-4.635553567636786;198.45;POINT (-4.635553567636786 42.48259929628065)
102;ES;42.800959492594764;-5.443152813110341;139.97;POINT (-5.443152813110341 42.80095949259476)
103;ES;42.57284313757546;-4.0251432634682365;74.51999999999998;POINT (-4.025143263468236 42.57284313757546)
104;ES;42.728669848153196;-2.303966238461886;23.15;POINT (-2.303966238461886 42.7286698481532)
105;ES;42.316482840027;-3.995381285515814;358.2;POINT (-3.995381285515814 42.316482840027)
106;ES;40.89464515109665;-3.1535215487610704;20.45;POINT (-3.15352154876107 40.89464515109665)
107;ES;40.997563943905064;-2.835429858841864;32.08;POINT (-2.835429858841864 40.99756394390506)
108;ES;40.07764495208086;-3.0858120293056217;123.96;POINT (-3.085812029305622 40.07764495208086)
109;ES;39.914127439318136;-2.6045649934273314;90.4;POINT (-2.604564993427331 39.91412743931814)
110;ES;39.77748386896743;-2.4611446395830936;61.28;POINT (-2.461144639583094 39.77748386896743)
111;ES;40.298330770669445;-2.8056852899580167;397.74;POINT (-2.805685289958017 40.29833077066944)
112;ES;39.955465771040096;-2.9298854070891047;51.65;POINT (-2.929885407089105 39.9554657710401)
113;ES;41.57157314664001;-3.054663283841642;34.78;POINT (-3.054663283841642 41.57157314664001)
114;ES;40.115881032908206;-2.501844540587137;6.98;POINT (-2.501844540587137 40.11588103290821)
115;ES;40.97320423836038;-0.6331658469260126;41.77;POINT (-0.6331658469260126 40.97320423836038)
116;ES;40.92041979184727;-0.6956160334370728;24.9;POINT (-0.6956160334370728 40.92041979184727)
117;ES;40.57346389213016;-2.6147065458509267;4.12;POINT (-2.614706545850927 40.57346389213016)
118;ES;41.38043548438503;-2.4448195490511013;80.59;POINT (-2.444819549051101 41.38043548438503)
119;ES;37.855375763398065;-3.4921275017030293;338.69;POINT (-3.492127501703029 37.85537576339807)
120;ES;37.90881965437215;-2.6800654718918557;487.2;POINT (-2.680065471891856 37.90881965437215)
121;ES;38.741415143471684;-0.7578118392337096;191.1;POINT (-0.7578118392337096 38.74141514347168)
122;ES;38.509639478134964;-0.9984737594704062;179.93;POINT (-0.9984737594704062 38.50963947813496)
123;ES;38.05443945098945;-0.7514672524215801;0.35;POINT (-0.7514672524215801 38.05443945098945)
124;ES;37.659461602909325;-3.8899524138581936;6.22;POINT (-3.889952413858194 37.65946160290932)
125;ES;38.550233631241625;-0.3025657279801596;225.12;POINT (-0.3025657279801596 38.55023363124162)
126;ES;38.170402939616075;-1.7871709633761508;413.48;POINT (-1.787170963376151 38.17040293961607)
82;ES;42.63856671194898;-3.9873612847970805;7.86;POINT (-3.987361284797081 42.63856671194898)
83;ES;43.31014513435102;-3.5835813488740738;1.69;POINT (-3.583581348874074 43.31014513435102)
84;ES;43.09855576033273;-3.9053388070087056;47.25;POINT (-3.905338807008706 43.09855576033273)
85;ES;42.80779341434205;-3.998832260089078;35.44;POINT (-3.998832260089078 42.80779341434205)
86;ES;42.640045931389054;-3.992679710635912;3.41;POINT (-3.992679710635912 42.64004593138905)
87;ES;43.309872808085856;-3.584362667562696;1.81;POINT (-3.584362667562696 43.30987280808586)
88;ES;42.58267860944622;-3.649775416749332;6.42;POINT (-3.649775416749332 42.58267860944622)
89;ES;42.806372574263115;-4.007799315213535;12.85;POINT (-4.007799315213535 42.80637257426311)
90;ES;43.24248931226922;-3.495478805319237;1.83;POINT (-3.495478805319237 43.24248931226922)
91;ES;42.68297406760186;-4.7150530161783575;132.19;POINT (-4.715053016178357 42.68297406760186)
92;ES;42.31658232716106;-3.995816040069307;242.97;POINT (-3.995816040069307 42.31658232716106)
93;ES;41.628840660457286;-3.383815231544793;75.26999999999998;POINT (-3.383815231544793 41.62884066045729)
94;ES;41.80537282572636;-4.099408228717496;9.56;POINT (-4.099408228717496 41.80537282572636)
95;ES;40.87544404833094;-0.05499033039639782;1212.46;POINT (-0.05499033039639782 40.87544404833094)
96;ES;42.700630625362336;-1.0068039561873356;318.6;POINT (-1.006803956187336 42.70063062536234)
97;ES;41.86448053624468;-1.6310167194727117;22.28;POINT (-1.631016719472712 41.86448053624468)
98;ES;42.17186039582491;-2.0471698005134313;68.93;POINT (-2.047169800513431 42.17186039582491)
