OID;Country;Latitude;Longitude;STORE_CAP_MEAN;geometry
236;PT;41.74543596;-9.314880884;0;POINT (-9.314880883881708 41.74543595501913)
237;PT;41.70771411;-9.111930411;0;POINT (-9.111930410978454 41.70771411391006)
238;PT;41.61267248;-9.31414525;0;POINT (-9.314145250413965 41.61267247565689)
239;PT;41.50837801;-9.086832549;0;POINT (-9.086832549065495 41.50837801072086)
240;PT;41.30790522;-9.035248971;0;POINT (-9.035248971474136 41.3079052214782)
241;PT;41.45862027;-9.126299562;0;POINT (-9.126299561523835 41.45862026684853)
242;PT;41.12663299;-9.127339734;0;POINT (-9.127339734362105 41.12663298973487)
243;PT;41.09598137;-8.922661842;0;POINT (-8.922661842430438 41.0959813714377)
244;PT;40.62447075;-9.223876447;0;POINT (-9.223876446896682 40.62447074623871)
245;PT;40.51187346;-9.039894757;0;POINT (-9.039894757157692 40.51187346007772)
246;PT;40.4087355;-9.306395747;0;POINT (-9.306395747322995 40.40873550025376)
247;PT;40.32061279;-9.026874008;0;POINT (-9.026874007952324 40.32061279136631)
248;PT;40.17655026;-9.485219826;0;POINT (-9.485219826346324 40.17655025766385)
249;PT;40.16902891;-9.486527492;0;POINT (-9.48652749187138 40.16902890668889)
250;PT;40.14488738;-9.313879323;0;POINT (-9.313879322540656 40.14488738298184)
251;PT;40.03689421;-9.187661843;0;POINT (-9.187661842537544 40.03689421073075)
252;PT;39.94828841;-9.21104047;0;POINT (-9.211040469726832 39.94828840777448)
253;PT;39.8999413;-9.262704784;0;POINT (-9.26270478441521 39.89994130078173)
254;PT;39.82818359;-9.345183382;0;POINT (-9.345183382033513 39.82818358903893)
255;PT;39.71735804;-9.300848103;0;POINT (-9.300848102892662 39.71735804260057)
256;PT;39.62591193;-8.969029243;0;POINT (-8.969029243253447 39.62591193293353)
257;PT;39.39648525;-9.023099386;0;POINT (-9.023099386235163 39.39648525116645)
258;PT;38.34034365;-8.951758457;0;POINT (-8.951758457243866 38.34034365097942)
259;PT;38.27197658;-8.82748819;0;POINT (-8.82748819032412 38.27197658478683)
260;PT;38.20444252;-8.954695236;0;POINT (-8.954695236491155 38.2044425239996)
261;PT;38.13253649;-9.034032476;0;POINT (-9.03403247642524 38.13253648955359)
262;PT;36.78875451;-8.398951181;183;POINT (-8.398951180607307 36.78875450513723)
263;PT;36.78875451;-8.398951181;662;POINT (-8.398951180607307 36.78875450513723)
264;PT;36.79973559;-7.729175523;0;POINT (-7.729175523052446 36.79973558974241)
265;PT;36.90185608;-7.566468288;0;POINT (-7.56646828823634 36.90185608230268)
266;PT;36.7747261;-7.324579604;0;POINT (-7.324579603894321 36.77472610253454)
267;PT;36.55563772;-7.431036506;0;POINT (-7.431036506261293 36.55563771649626)
