OID;COUNTRY;Longitude;Latitude;geometry;STORAGE_CAP_;Projection
SID125;SP;714606.1211;4613026.08;;95.64;ED_1950_UTM_Zone_30N
SID126;SP;722951.3523;4573828.705;;31.05;ED_1950_UTM_Zone_30N
SID127;SP;365674.9577;4704865.904;;198.45;ED_1950_UTM_Zone_30N
SID128;SP;300316.6177;4741816.535;;139.97;ED_1950_UTM_Zone_30N
SID129;SP;415966.8866;4714099.837;;74.52;ED_1950_UTM_Zone_30N
SID130;SP;557084.6441;4731128.861;;23.15;ED_1950_UTM_Zone_30N
SID131;SP;418075.7393;4685604.399;;358.2;ED_1950_UTM_Zone_30N
SID132;SP;487170.2977;4527280.163;;20.45;ED_1950_UTM_Zone_30N
SID133;SP;513943.6442;4538706.843;;32.08;ED_1950_UTM_Zone_30N
SID134;SP;492785.7083;4436584.649;;123.96;ED_1950_UTM_Zone_30N
SID135;SP;533899.2704;4418506.917;;90.4;ED_1950_UTM_Zone_30N
SID136;SP;546248.5174;4403405.054;;61.28;ED_1950_UTM_Zone_30N
SID137;SP;516616.807;4461094.278;;397.74;ED_1950_UTM_Zone_30N
SID138;SP;506091.2935;4423022.587;;51.65;ED_1950_UTM_Zone_30N
SID139;SP;495545.0061;4602419.572;;34.78;ED_1950_UTM_Zone_30N
SID140;SP;542553.386;4440943.985;;6.98;ED_1950_UTM_Zone_30N
SID141;SP;699247.5956;4538687.593;;41.77;ED_1950_UTM_Zone_30N
SID142;SP;694147.1869;4532686.788;;24.9;ED_1950_UTM_Zone_30N
SID143;SP;532714.5422;4491687.226;;4.12;ED_1950_UTM_Zone_30N
SID144;SP;546525.0022;4581346.728;;80.59;ED_1950_UTM_Zone_30N
SID145;SP;456809.5217;4190086.056;;338.69;ED_1950_UTM_Zone_30N
SID146;SP;528226.8965;4195949.864;;487.2;ED_1950_UTM_Zone_30N
SID147;SP;694975.2989;4290673.03;;191.1;ED_1950_UTM_Zone_30N
SID148;SP;674618.0882;4264465.447;;179.93;ED_1950_UTM_Zone_30N
SID149;SP;697386.1863;4214445.544;;0.35;ED_1950_UTM_Zone_30N
SID150;SP;421605.2337;4168607.994;;6.22;ED_1950_UTM_Zone_30N
SID151;SP;735171.8425;4270521.438;;225.12;ED_1950_UTM_Zone_30N
SID152;SP;606341.8361;4225620.355;;413.48;ED_1950_UTM_Zone_30N
