id;Country;geometry;Longitude;Latitude;USED in model;
TID1;GER;POINT (7.503343819642864 53.65739169252041);7.50334382;53.65739169;;
TID2;GER;POINT (7.049048646232086 53.49318861779361);7.049048646;53.49318862;;
TID3;GER;POINT (13.56517399497344 54.10895014801907);13.56517399;54.10895015;;
TID4;GER;POINT (8.155554 53.556378);8.155554;53.556378;Yes;
TID5;NL;POINT (6.71516906095429 53.43571754163925);6.715169061;53.43571754;;
TID6;NL;POINT (5.401544463139992 53.13741528921892);5.401544463;53.13741529;;
TID7;NL;POINT (4.711891549287484 52.85690170322732);4.711891549;52.8569017;;
TID8;NL;POINT (4.160442889996689 51.98936212508747);4.16044289;51.98936213;Yes;
TID9;BEL;POINT (3.232695517790343 51.33528654409245);3.232695518;51.33528654;;
TID10;BEL;POINT (2.335052042617237 51.01782726628733);2.335052043;51.01782727;;
TID11;DK;POINT (8.171518351743998 55.68881803332006);8.171518352;55.68881803;;
TID12;UK;POINT (-1.843626102014985 57.55512209012907);-1.843626102;57.55512209;Yes;
TID13;UK;POINT (-5.17095243503662 54.96906503089555);-5.170952435;54.96906503;;
TID14;UK;POINT (-4.035569407085193 54.83154448688961);-4.035569407;54.83154449;;
TID15;UK;POINT (-3.207930523342167 54.04499405836786);-3.207930523;54.04499406;;
TID16;UK;POINT (-3.062863120213957 53.1913604376481);-3.06286312;53.19136044;Yes;
TID17;UK;POINT (-5.033431891030665 51.71553020929175);-5.033431891;51.71553021;;
TID18;UK;POINT (-5.033431891030665 51.71553020929175);-5.033431891;51.71553021;;
TID19;UK;POINT (1.478668991591706 52.78718420465506);1.478668992;52.7871842;;
TID20;UK;POINT (1.478668991591706 52.78718420465506);1.478668992;52.7871842;;
TID21;UK;POINT (0.2812340108571258 53.26012070965108);0.281234011;53.26012071;Yes;
TID22;UK;POINT (0.04476575835912033 53.68945313971837);0.044765758;53.68945314;Yes;
TID23;UK;POINT (-1.025211157199228 54.55818047868269);-1.025211157;54.55818048;;
TID24;IR;POINT (-9.850005090848184 54.23282699652231);-9.850005091;54.232827;;
TID25;IR;POINT (-5.75793036676923 54.82315908786485);-5.757930367;54.82315909;Yes;
TID26;IR;POINT (-6.237575190985043 53.63410950615501);-6.237575191;53.63410951;Yes;
TID27;IR;POINT (-6.120179604638516 53.51168268039363);-6.120179605;53.51168268;;
TID28;IR;POINT (-8.196404403167094 51.81950915719868);-8.196404403;51.81950916;;
TID29;PT;POINT (41.13424078958918 -8.663498253347703);-8.663498253;41.13424079;Yes;estimated on map 
TID30;PT;POINT (42.22657921614342 -8.733260845561052);-8.733260846;42.22657922;Yes;estimated on map 
TID31;PT;POINT (38.65399112181966 -9.230709276964843);-9.230709277;38.65399112;Yes;estimated on map 
TID32;PT;POINT (37.13771839243478 -6.8362721316115);-6.836272132;37.13771839;Yes;estimated on map 
TID33;PT;POINT (37.09117690316448 -8.672211405721306);-8.672211406;37.0911769;Yes;estimated on map 
TID34;PT;POINT (36.59514260962581 -6.26430172400024);-6.264301724;36.59514261;Yes;estimated on map 
