OID;COUNTRYCODE;Latitude;Longitude;STORE_CAP_MEAN;geometry
SID1;GB;54.01255983;1.270767238;13293.9144;POINT (1.27076723763336 54.0125598312332)
SID2;GB;53.41040519;1.662874113;0;POINT (1.662874112943579 53.41040519275698)
SID3;GB;60.26116908;1.787312393;370.4386224;POINT (1.787312392965093 60.26116907760101)
SID4;GB;59.74385612;1.390369945;12220.08093;POINT (1.390369944912755 59.74385612091921)
SID5;GB;57.23100117;0.931109112;339.066;POINT (0.9311091120231744 57.23100116538156)
SID6;GB;57.40650906;1.333267017;26132.05056;POINT (1.333267016769503 57.40650905696381)
SID7;GB;57.65877357;0.483671109;372.1788;POINT (0.483671108982845 57.65877357304538)
SID8;GB;58.50572514;0.131075991;14613.75;POINT (0.1310759908910003 58.50572513587012)
SID9;GB;58.88268013;1.241960126;427.2831;POINT (1.241960125517358 58.88268012868321)
SID10;GB;59.86255188;2.00404813;25.2672;POINT (2.004048129908097 59.86255188441429)
SID11;GB;58.84081626;1.428698659;66.146625;POINT (1.428698658824783 58.84081625655838)
SID12;GB;59.98601885;1.861466883;221.2938;POINT (1.861466882982409 59.98601885368763)
SID13;GB;58.44588928;1.326681626;0;POINT (1.32668162580729 58.44588927619702)
SID14;GB;58.75345896;1.363997387;0;POINT (1.363997387464786 58.75345895833918)
SID15;GB;59.03576844;1.489542175;6.166125;POINT (1.489542175286592 59.03576844403345)
SID16;GB;53.84996599;-3.591170453;1775.0204;POINT (-3.591170452916661 53.84996598783361)
SID17;GB;54.61267195;-4.015058343;339.416;POINT (-4.015058343066815 54.61267194566324)
SID18;GB;53.97813606;-4.322677301;0;POINT (-4.32267730146844 53.97813606044958)
SID19;GB;58.21578367;0.799728695;4753.131075;POINT (0.7997286948388944 58.21578366972097)
SID20;GB;58.25739527;1.297056907;30.490911;POINT (1.297056906655635 58.25739527269837)
SID21;GB;53.64289201;-3.495559357;2141.463324;POINT (-3.495559356976707 53.64289201046319)
SID22;GB;54.18761158;-4.003398066;1220.524256;POINT (-4.00339806618051 54.18761157982969)
SID23;GB;53.86033527;-3.752539385;0.76186913;POINT (-3.752539385484406 53.86033527491322)
SID24;GB;50.48018176;-2.123036842;1265.9458;POINT (-2.123036842331572 50.48018175725189)
SID25;GB;54.04912548;-3.783000561;11099.42404;POINT (-3.783000561314059 54.04912547798289)
SID26;GB;53.82349023;1.120748635;5466.7872;POINT (1.12074863457846 53.82349022893304)
SID27;GB;50.43990603;-2.362227552;393.788448;POINT (-2.362227552112752 50.43990602594528)
SID28;GB;55.61560804;2.589333294;101.7534;POINT (2.589333293626046 55.61560803595597)
SID29;GB;59.54083262;1.44158769;27.36;POINT (1.44158769012517 59.54083262436897)
SID30;GB;59.76576328;1.64907591;17.52;POINT (1.649075910467751 59.76576327569319)
SID31;GB;58.2773108;-2.092948131;0;POINT (-2.092948130848567 58.27731080408564)
SID32;GB;58.17111368;-2.212548796;0;POINT (-2.212548796210061 58.17111367882428)
