J,MIN_CAP
NO_ACTION,0.0
INCUMBENT_STEELBFBOF,0.0
CCS_STEELBFBOF,0.0
INCUMBENT_CEMENT,0.0
CCS_CEMENT,0.0
BIOMASS_CEMENT,0.0
CCS_BIOMASS_CEMENT,0.0
MINERAL_CEMENT,0.0
BIOMASS_MINERAL_CEMENT,0.0
CCS_BIOMASS_MINERAL_CEMENT,0.0
CCS_MINERAL_CEMENT,0.0
CALCINED_CLAY_CEMENT,0.0
CALCINED_CLAY_BIOMASS_CEMENT,0.0
CCS_CALCINED_CLAY_CEMENT,0.0
CCS_CALCINED_CLAY_BIOMASS_CEMENT,0.0
NET,0.0
SMALL_CO2_COMPRESSOR,0.0
LARGE_CO2_COMPRESSOR,0.0
XL_CO2_COMPRESSOR,0.0
XXL_CO2_COMPRESSOR,0.0
XXXL_CO2_COMPRESSOR,0.0
SALT_CAVERN,0.0
PRES_CYL_VESSEL,0.0
