J,R,RESOURCE_CONV_RATE
NO_ACTION,CLIQ_CO2_ONSHORE,0.0
INCUMBENT_STEELBFBOF,CLIQ_CO2_ONSHORE,0.0
CCS_STEELBFBOF,CLIQ_CO2_ONSHORE,1.243
INCUMBENT_CEMENT,CLIQ_CO2_ONSHORE,0.0
CCS_CEMENT,CLIQ_CO2_ONSHORE,0.765
BIOMASS_CEMENT,CLIQ_CO2_ONSHORE,0.0
CCS_BIOMASS_CEMENT,CLIQ_CO2_ONSHORE,0.765
MINERAL_CEMENT,CLIQ_CO2_ONSHORE,0.0
BIOMASS_MINERAL_CEMENT,CLIQ_CO2_ONSHORE,0.0
CCS_BIOMASS_MINERAL_CEMENT,CLIQ_CO2_ONSHORE,0.5355
CCS_MINERAL_CEMENT,CLIQ_CO2_ONSHORE,0.5355
CALCINED_CLAY_CEMENT,CLIQ_CO2_ONSHORE,0.0
CALCINED_CLAY_BIOMASS_CEMENT,CLIQ_CO2_ONSHORE,0.0
CCS_CALCINED_CLAY_CEMENT,CLIQ_CO2_ONSHORE,0.3824999999999999
CCS_CALCINED_CLAY_BIOMASS_CEMENT,CLIQ_CO2_ONSHORE,0.3824999999999999
NET,CLIQ_CO2_ONSHORE,1.23
SMALL_CO2_COMPRESSOR,CLIQ_CO2_ONSHORE,-1.0
LARGE_CO2_COMPRESSOR,CLIQ_CO2_ONSHORE,-1.0
XL_CO2_COMPRESSOR,CLIQ_CO2_ONSHORE,-1.0
XXL_CO2_COMPRESSOR,CLIQ_CO2_ONSHORE,-1.0
XXXL_CO2_COMPRESSOR,CLIQ_CO2_ONSHORE,-1.0
INJ_WELL,CLIQ_CO2_ONSHORE,0.0
SALT_CAVERN,CLIQ_CO2_ONSHORE,0.0
PRES_CYL_VESSEL,CLIQ_CO2_ONSHORE,0.0
NO_ACTION,CLIQ_CO2_OFFSHORE,0.0
INCUMBENT_STEELBFBOF,CLIQ_CO2_OFFSHORE,0.0
CCS_STEELBFBOF,CLIQ_CO2_OFFSHORE,0.0
INCUMBENT_CEMENT,CLIQ_CO2_OFFSHORE,0.0
CCS_CEMENT,CLIQ_CO2_OFFSHORE,0.0
BIOMASS_CEMENT,CLIQ_CO2_OFFSHORE,0.0
CCS_BIOMASS_CEMENT,CLIQ_CO2_OFFSHORE,0.0
MINERAL_CEMENT,CLIQ_CO2_OFFSHORE,0.0
BIOMASS_MINERAL_CEMENT,CLIQ_CO2_OFFSHORE,0.0
CCS_BIOMASS_MINERAL_CEMENT,CLIQ_CO2_OFFSHORE,0.0
CCS_MINERAL_CEMENT,CLIQ_CO2_OFFSHORE,0.0
CALCINED_CLAY_CEMENT,CLIQ_CO2_OFFSHORE,0.0
CALCINED_CLAY_BIOMASS_CEMENT,CLIQ_CO2_OFFSHORE,0.0
CCS_CALCINED_CLAY_CEMENT,CLIQ_CO2_OFFSHORE,0.0
CCS_CALCINED_CLAY_BIOMASS_CEMENT,CLIQ_CO2_OFFSHORE,0.0
NET,CLIQ_CO2_OFFSHORE,0.0
SMALL_CO2_COMPRESSOR,CLIQ_CO2_OFFSHORE,1.0
LARGE_CO2_COMPRESSOR,CLIQ_CO2_OFFSHORE,1.0
XL_CO2_COMPRESSOR,CLIQ_CO2_OFFSHORE,1.0
XXL_CO2_COMPRESSOR,CLIQ_CO2_OFFSHORE,1.0
XXXL_CO2_COMPRESSOR,CLIQ_CO2_OFFSHORE,1.0
INJ_WELL,CLIQ_CO2_OFFSHORE,0.0
SALT_CAVERN,CLIQ_CO2_OFFSHORE,0.0
PRES_CYL_VESSEL,CLIQ_CO2_OFFSHORE,0.0
NO_ACTION,EMITTED_CO2,1.0
INCUMBENT_STEELBFBOF,EMITTED_CO2,0.0
CCS_STEELBFBOF,EMITTED_CO2,1.045
INCUMBENT_CEMENT,EMITTED_CO2,0.0
CCS_CEMENT,EMITTED_CO2,0.2899238314850001
BIOMASS_CEMENT,EMITTED_CO2,0.5584669912971406
CCS_BIOMASS_CEMENT,EMITTED_CO2,0.02
