resource,strg_tech,grid,Major Time,Scenario,number
CLIQ_CO2_OFFSHORE,INJ_WELL,27,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,28,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,29,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,30,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,31,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,32,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,33,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,34,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,35,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,36,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,37,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,38,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,39,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,40,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,41,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,42,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,43,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,44,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,45,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,46,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,47,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,48,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,49,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,50,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,51,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,52,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,53,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,54,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,55,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,56,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,57,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,58,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,59,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,60,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,61,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,62,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,63,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,64,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,65,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,66,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,67,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,68,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,69,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,70,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,71,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,72,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,73,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,74,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,75,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,76,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,77,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,78,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,79,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,80,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,81,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,82,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,83,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,84,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,85,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,86,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,87,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,88,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,89,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,90,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,91,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,92,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,93,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,94,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,95,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,96,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,97,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,98,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,99,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,100,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,101,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,102,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,103,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,104,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,105,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,106,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,107,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,108,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,109,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,110,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,111,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,112,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,113,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,114,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,115,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,116,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,117,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,118,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,119,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,120,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,121,1,LL,500
CLIQ_CO2_OFFSHORE,INJ_WELL,122,1,LL,500
