RESOURCE;grid_id;T;TM;S;DEMAND
CEMENT;1;1;1;LL;85.61643836
CEMENT;2;1;1;LL;28.53881279
CEMENT;3;1;1;LL;57.07762557
CEMENT;4;1;1;LL;57.07762557
CEMENT;5;1;1;LL;74.20091324
CEMENT;6;1;1;LL;39.9543379
CEMENT;7;1;1;LL;102.739726
CEMENT;8;1;1;LL;74.20091324
CEMENT;9;1;1;LL;74.20091324
CEMENT;10;1;1;LL;51.94063927
CEMENT;11;1;1;LL;116.0
CEMENT;12;1;1;LL;74.20091324
CEMENT;13;1;1;LL;74.20091324
CEMENT;14;1;1;LL;74.20091324
CEMENT;15;1;1;LL;27.39726027
CEMENT;16;1;1;LL;54.79452055
CEMENT;17;1;1;LL;74.20091324
CEMENT;18;1;1;LL;66.78082192
CEMENT;19;1;1;LL;39.21568627
CEMENT;20;1;1;LL;44.81792717
CEMENT;21;1;1;LL;140.0
CEMENT;22;1;1;LL;72.82913165
