OID;Grid_id;RESOURCE;TRANSPORT_COEFF;TRANSPORT_EMISS
CID53;1;OLIVINE;0.0097260864867256;0.05610355671
CID54;2;OLIVINE;0.00599565839823;0.04248271411
CID55;3;OLIVINE;0.0094597856017699;0.05550848741
CID56;4;OLIVINE;0.0101281396902654;0.04767771126
CID57;5;OLIVINE;0.010722479858407;0.05820118428
CID58;6;OLIVINE;0.0080400586212389;0.05220711284
CID59;7;OLIVINE;0.0125294244424778;0.05643850572
CID60;8;OLIVINE;0.0080870616460177;0.05418283051
CID61;9;OLIVINE;0.0090464617079646;0.05458488417
CID62;10;OLIVINE;0.0070457856;0.0501142233599999
CID63;11;OLIVINE;0.0113135134867256;0.05952189325
CID64;12;OLIVINE;0.0063741266672566;0.04345863208
CID65;13;OLIVINE;0.0077262227079646;0.0533765088399999
CID66;14;OLIVINE;0.0056774849469026;0.04177173167
CID67;15;OLIVINE;0.0096792976283185;0.06108365846
CID68;16;OLIVINE;0.0101453041858407;0.0570403301
CID69;17;OLIVINE;0.0080461966743362;0.05222082878
CID70;18;OLIVINE;0.0112268126725663;0.06454169689
CID53;1;BIOMASS;0.0173247912212389;0.1650275871
CID54;2;BIOMASS;0.0135943064955752;0.1514066178999999
CID55;3;BIOMASS;0.0170584903362831;0.1644325178
CID56;4;BIOMASS;0.018487642159292;0.1683572572999999
CID57;5;BIOMASS;0.0192427628849557;0.1807531926
CID58;6;BIOMASS;0.0165602212920354;0.1747588522
CID59;7;BIOMASS;0.0206847295486725;0.1718486032
CID60;8;BIOMASS;0.0165958674070796;0.1732279183999999
CID61;9;BIOMASS;0.0166451699823008;0.1635089225
CID62;10;BIOMASS;0.0146443735221238;0.1590379927
CID63;11;BIOMASS;0.0203289575752212;0.1831803761
CID64;12;BIOMASS;0.0147336291415929;0.1641381781
CID65;13;BIOMASS;0.0161835948407079;0.1723066643999999
CID66;14;BIOMASS;0.0132761932212389;0.15069577
CID67;15;BIOMASS;0.0162590686814159;0.158133794
CID68;16;BIOMASS;0.0177440124601769;0.1659643684
CID69;17;BIOMASS;0.0165656159823008;0.1747709070999999
CID70;18;BIOMASS;0.013949638938053;0.03117151443
CID53;1;CLAY;0.0159217041681415;0.07225212297
CID54;2;CLAY;0.0121912194424778;0.05863115381
CID55;3;CLAY;0.0156554103628318;0.07165706949
CID56;4;CLAY;0.0150118632477876;0.05142845589
CID57;5;CLAY;0.0137502458230088;0.0403230894499999
CID58;6;CLAY;0.0110677042300884;0.03432874907
CID59;7;CLAY;0.0165736363716814;0.04751640513
CID60;8;CLAY;0.0110317313097345;0.03196322955
CID61;9;CLAY;0.0152420829292035;0.07073345834
CID62;10;CLAY;0.0132412864690265;0.06626252859
CID63;11;CLAY;0.0148364405132743;0.04275027295
CID64;12;CLAY;0.0103724603451327;0.03689181767
CID65;13;CLAY;0.0106194587433628;0.03104197558
CID66;14;CLAY;0.0118730990884955;0.05792029002
CID67;15;CLAY;0.0158749294690265;0.07723225635
CID68;16;CLAY;0.0163409254070796;0.07318890427
CID69;17;CLAY;0.0110724334336283;0.03433931683
CID70;18;CLAY;0.0174224338938053;0.08069027105
