OID;Grid_id;RESOURCE;TRANSPORT_COEFF;TRANSPORT_EMISS
CID77;1;OLIVINE;0.006916763184292;0.0270795036419535
CID78;2;OLIVINE;0.0193158286710177;0.0547861454019535
CID79;3;OLIVINE;0.0081361938431591;0.0323880015585636
CID80;4;OLIVINE;0.0111116021223451;0.0364531858619535
CID81;5;OLIVINE;0.0061469591495201;0.0421801942992517
CID77;1;BIOMASS;0.0177364624881638;0.1735362192923843
CID78;2;BIOMASS;0.0301355279748895;0.2012428610523843
CID79;3;BIOMASS;0.0189402593233506;0.1786625343074204
CID80;4;BIOMASS;0.0219313014262169;0.1829099015123843
CID81;5;BIOMASS;0.0150208470333254;0.1659621262452207
CID77;1;CLAY;0.0051421118568584;0.0231139121519535
CID78;2;CLAY;0.0175038003524336;0.0507370322219535
CID79;3;CLAY;0.006324165524575;0.0283388883785636
CID80;4;CLAY;0.0093369507949115;0.0324875943719535
CID81;5;CLAY;0.0043349556096971;0.0381311364892517
