Description;Country;VID;Longitude;Latitude
Feeder10;UK;TRID1;-3.790060726;56.09905325
Feeder10;UK;TRID2;-3.770852927;56.21622082
Feeder10;UK;TRID3;-3.728595769;56.2565572
Feeder10;UK;TRID4;-3.644081453;56.26808188
Feeder10;UK;TRID5;-3.561487917;56.28921046
Feeder10;UK;TRID6;-3.51154764;56.2949728
Feeder10;UK;TRID7;-3.467369702;56.31033904
Feeder10;UK;TRID8;-3.459686583;56.34683385
Feeder10;UK;TRID9;-3.471211262;56.36412087
Feeder10;UK;TRID10;-3.51346842;56.36604165
Feeder10;UK;TRID11;-3.563408697;56.38332867
Feeder10;UK;TRID12;-3.528834659;56.41982349
Feeder10;UK;TRID13;-3.486577501;56.44287285
Feeder10;UK;TRID14;-3.444320343;56.46208065
Feeder10;UK;TRID15;-3.411667085;56.49473391
Feeder10;UK;TRID16;-3.402063186;56.51202093
Feeder10;UK;TRID17;-3.342519009;56.52162483
Feeder10;UK;TRID18;-3.281054052;56.5427534
Feeder10;UK;TRID19;-3.236876114;56.5619612
Feeder10;UK;TRID20;-3.142757899;56.56964432
Feeder10;UK;TRID21;-3.094738401;56.58693134
Feeder10;UK;TRID22;-3.1235501;56.66568332
Feeder10;UK;TRID23;-3.100500741;56.69449502
Feeder10;UK;TRID24;-3.017907205;56.71946516
Feeder10;UK;TRID25;-2.960283808;56.74059373
Feeder10;UK;TRID26;-2.848878574;56.76364309
Feeder10;UK;TRID27;-2.699057741;56.77516777
Feeder10;UK;TRID28;-2.664483703;56.79629635
Feeder10;UK;TRID29;-2.581890167;56.86160287
Feeder10;UK;TRID30;-2.508900531;56.89233535
Feeder10;UK;TRID31;-2.428227775;56.9538003
Feeder10;UK;TRID32;-2.409019976;56.9922159
Feeder10;UK;TRID33;-2.364842038;57.00758214
Feeder10;UK;TRID34;-2.362921258;57.06136398
Feeder10;UK;TRID35;-2.359079698;57.0978588
Feeder10;UK;TRID36;-2.399416076;57.12090816
Feeder10;UK;TRID37;-2.422465435;57.15164063
Feeder10;UK;TRID38;-2.437831674;57.17468999
Feeder10;UK;TRID39;-2.428227775;57.18813545
Feeder10;UK;TRID40;-2.357158918;57.19005623
Feeder10;UK;TRID41;-2.31874332;57.24575885
Feeder10;UK;TRID42;-2.289931622;57.29185757
Feeder10;UK;TRID43;-2.222704325;57.30146147
Feeder10;UK;TRID44;-2.170843268;57.3360355
Feeder10;UK;TRID45;-2.13050689;57.39750046
Feeder10;UK;TRID46;-2.090170512;57.4128667
Feeder10;UK;TRID47;-2.015260096;57.4128667
Feeder10;UK;TRID48;-1.974923718;57.44551996
Feeder10;UK;TRID49;-1.92498344;57.50314336
Feeder10;UK;TRID50;-1.903854861;57.56460831
Feeder10;UK;TRID51;-1.815498986;57.58765767
Viking CCS;UK;TRID52;-0.287295096;53.5857673
Viking CCS;UK;TRID53;-0.213253296;53.55008451
Viking CCS;UK;TRID54;-0.099068352;53.46087752
Viking CCS;UK;TRID55;0.17925745;53.37077846
Viking CCS;UK;TRID56;0.230997502;53.38059123
Hynet;UK;TRID57;-2.706477093;53.317087
Hynet;UK;TRID58;-2.822446177;53.29389319
Hynet;UK;TRID59;-2.941983541;53.29835354
Hynet;UK;TRID60;-3.024946039;53.19933378
Hynet;UK;TRID61;-3.063305044;53.19844171
Hynet;UK;TRID62;-3.058844695;53.16543513
Hynet;UK;TRID63;-3.069549533;53.19754964
Hynet;UK;TRID64;-3.181058268;53.19487343
Hynet;UK;TRID65;-3.295243212;53.3260077
Hynet;UK;TRID66;-3.30684012;53.33938875
Humber ;UK;TRID67;-1.096068925;53.76711316
Humber ;UK;TRID68;-0.960512742;53.69526839
Humber ;UK;TRID69;-0.857490043;53.66680159
Humber ;UK;TRID70;-0.765311839;53.5990235
Humber ;UK;TRID71;-0.731422793;53.53666765
Humber ;UK;TRID72;-0.603999981;53.50548973
Humber ;UK;TRID73;-0.468443798;53.5136231
Humber ;UK;TRID74;-0.297643007;53.54480102
Humber ;UK;TRID75;-0.193264746;53.57462338
Humber ;UK;TRID76;-0.220375983;53.62342361
Humber ;UK;TRID77;-0.190553623;53.65189041
Humber ;UK;TRID78;-0.183775814;53.69797951
Humber ;UK;TRID79;-0.118708846;53.66002378
Humber ;UK;TRID80;-0.044152945;53.64240148
Humber ;UK;TRID81;0.039891888;53.65053485
Humber ;UK;TRID82;0.098181047;53.64782372
Humber ;UK;TRID83;0.119870036;53.65053485
