OID;Grid_id;RESOURCE;TRANSPORT_COEFF;TRANSPORT_EMISS
CID93;1;OLIVINE;0.0068531935139155;0.055826214646847
CID94;2;OLIVINE;0.0068366264061572;0.0437213075092517
CID95;3;OLIVINE;0.0223247560963137;0.0853985961248556
CID96;4;OLIVINE;0.0096201239411274;0.080520424581451
CID97;5;OLIVINE;0.0082697575974471;0.0714515366027513
CID93;1;BIOMASS;0.0157270813977208;0.179608146592816
CID94;2;BIOMASS;0.0157105142899626;0.1675032394552207
CID95;3;BIOMASS;0.031198643980119;0.2091805280708246
CID96;4;BIOMASS;0.0184940118249327;0.20430235652742
CID97;5;BIOMASS;0.0171436454812524;0.1952334685487202
CID93;1;CLAY;0.0050411651953314;0.051777101466847
CID94;2;CLAY;0.0050245980875732;0.0396721943292517
CID95;3;CLAY;0.0205124304325968;0.0813488185048556
CID96;4;CLAY;0.0094975096294567;0.028681304640763
CID97;5;CLAY;0.006457729278863;0.0674024234227513
