OID;Longitude;Latitude;Grid_id;GRIDTYPE;GRIDTYPECODE;TOT_CO2_STORES;LANDFALL;ONSHORE_GRIDS;IMPORT_LOCATIONS;EMISSION_FACTOR;LOCATION_FACTOR;AVAILABILITY;HARBOUR;latitude;longitude;parent_name
CID75;-6.483272;38.3792;1;CEMENT;11;0;0;1;1;0;1;1;0;38.3792;-6.483272;AG Cementos Balboa SA
CID76;-2.773979;43.206524;2;CEMENT;11;0;0;1;1;0;1;1;0;43.206524;-2.773979;CRH PLC
CID77;-4.15978;42.874825;3;CEMENT;11;0;0;1;1;0;1;1;0;42.874825;-4.15978;Cementos Portland Valderrivas SA
CID78;-3.474441;40.244961;4;CEMENT;11;0;0;1;1;0;1;1;0;40.244961;-3.474441;Cementos Portland Valderrivas SA
CID79;-2.190187;42.882983;5;CEMENT;11;0;0;1;1;0;1;1;0;42.882983;-2.190187;Cementos Portland Valderrivas SA
CID80;-4.46587;41.941676;6;CEMENT;11;0;0;1;1;0;1;1;0;41.941676;-4.46587;Cementos Portland Valderrivas SA
CID81;-5.865094;37.359736;7;CEMENT;11;0;0;1;1;0;1;1;0;37.359736;-5.865094;Cementos Portland Valderrivas SA
CID82;-0.77638;39.436556;8;CEMENT;11;0;0;1;1;0;1;1;0;39.436556;-0.77638;CEMEX SAB de CV
CID83;-1.486787;41.475476;9;CEMENT;11;0;0;1;1;0;1;1;0;41.475476;-1.486787;CEMEX SAB de CV
CID84;-0.542867;38.378014;10;CEMENT;11;0;0;1;1;0;1;1;0;38.378014;-0.542867;CEMEX SAB de CV
CID85;0.54329;40.576824;11;CEMENT;11;0;0;1;1;0;1;1;0;40.576824;0.54329;CEMEX SAB de CV
CID86;-3.74396;39.934332;12;CEMENT;11;0;0;1;1;0;1;1;0;39.934332;-3.74396;CEMEX SAB de CV
CID87;-5.722483;43.560582;13;CEMENT;11;0;0;1;1;0;1;1;0;43.560582;-5.722483;Corporacion Masaveu SA
CID88;-5.619632;42.798654;14;CEMENT;11;0;0;1;1;0;1;1;0;42.798654;-5.619632;Corporacion Masaveu SA
CID89;-5.775146;43.33011;15;CEMENT;11;0;0;1;1;0;1;1;0;43.33011;-5.775146;Corporacion Masaveu SA
CID90;-2.899342;43.204824;16;CEMENT;11;0;0;1;1;0;1;1;0;43.204824;-2.899342;HeidelbergCement AG
CID91;-4.329333;36.714681;17;CEMENT;11;0;0;1;1;0;1;1;0;36.714681;-4.329333;HeidelbergCement AG
CID92;-1.997062;43.285684;18;CEMENT;11;0;0;1;1;0;1;1;0;43.285684;-1.997062;HeidelbergCement AG
CID93;-1.904785;36.966885;19;CEMENT;11;0;0;1;1;0;1;1;0;36.966885;-1.904785;LafargeHolcim Ltd
CID94;-6.073448;36.618249;20;CEMENT;11;0;0;1;1;0;1;1;0;36.618249;-6.073448;LafargeHolcim Ltd
CID95;-3.901136;40.009935;21;CEMENT;11;0;0;1;1;0;1;1;0;40.009935;-3.901136;LafargeHolcim Ltd
CID96;2.183652;41.474698;22;CEMENT;11;0;0;1;1;0;1;1;0;41.474698;2.183652;LafargeHolcim Ltd
CID97;-0.246962;39.663613;23;CEMENT;11;0;0;1;1;0;1;1;0;39.663613;-0.246962;LafargeHolcim Ltd
CID98;-4.764202;37.902032;24;CEMENT;11;0;0;1;1;0;1;1;0;37.902032;-4.764202;Votorantim SA
CID99;-6.672312;37.359766;25;CEMENT;11;0;0;1;1;0;1;1;0;37.359766;-6.672312;Votorantim SA
CID100;-7.450123;42.717483;26;CEMENT;11;0;0;1;1;0;1;1;0;42.717483;-7.450123;Votorantim SA
CID101;-6.768733;42.553519;27;CEMENT;11;0;0;1;1;0;1;1;0;42.553519;-6.768733;Votorantim SA
CID102;2.054826;41.402821;28;CEMENT;11;0;0;1;1;0;1;1;0;41.402821;2.054826;
CID103;-9.009904;38.922169;29;CEMENT;11;0;0;1;1;0;1;1;0;38.922169;-9.009904;InterCement Participacoes SA
CID104;-8.100041;37.135933;30;CEMENT;11;0;0;1;1;0;1;1;0;37.135933;-8.100041;InterCement Participacoes SA
CID105;-8.418212;40.289074;31;CEMENT;11;0;0;1;1;0;1;1;0;40.289074;-8.418212;InterCement Participacoes SA
CID106;-8.905132;39.685773;32;CEMENT;11;0;0;1;1;0;1;1;0;39.685773;-8.905132;Secil Companhia Geral de Cal e Cimento SA
CID107;-8.987387;39.655677;33;CEMENT;11;0;0;1;1;0;1;1;0;39.655677;-8.987387;Secil Companhia Geral de Cal e Cimento SA
CID108;-8.935936;38.501466;34;CEMENT;11;0;0;1;1;0;1;1;0;38.501466;-8.935936;Secil Companhia Geral de Cal e Cimento SA
TID29;-8.663498253;41.13424079;35;TERMINAL;30;0;1;1;1;0;1;1;0;;;
TID30;-8.733260846;42.22657922;36;TERMINAL;30;0;1;1;1;0;1;1;0;;;
TID31;-9.230709277;38.65399112;37;TERMINAL;30;0;1;1;1;0;1;1;0;;;
TID32;-6.836272132;37.13771839;38;TERMINAL;30;0;1;1;1;0;1;1;0;;;
TID33;-8.672211406;37.0911769;39;TERMINAL;30;0;1;1;1;0;1;1;0;;;
TID34;-6.264301724;36.59514261;40;TERMINAL;30;0;1;1;1;0;1;1;0;;;
SID125;-9.314880884;41.74543596;41;STORAGE;20;47;0;0;1;0;1;1;0;;;
